,Unnamed: 0,shop_name,shop_address,shop_lat,shop_lng,types
0,0,Save A Lot,"1134 Gallatin Pike S, Nashville, TN 37115",36.2505921,-86.72085469999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
1,1,Save A Lot,"2400 Clarksville Pike, Nashville, TN 37208",36.1853833,-86.8159932,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
2,2,Save A Lot,"1113 Murfreesboro Pike, Nashville, TN 37217",36.1257545,-86.7109041,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
3,3,Save A Lot,"351 E Main St, Gallatin, TN 37066",36.3897155,-86.43921120000002,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
4,4,Save A Lot,"5154 Murfreesboro Rd, La Vergne, TN 37086",36.0193371,-86.5767419,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
5,5,Save A Lot,"2622 Gallatin Pike E, Nashville, TN 37216",36.1978804,-86.74073779999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
6,6,Save A Lot,"1113 Murfreesboro Pike, Nashville, TN 37217",36.1257545,-86.7109041,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
7,7,Save A Lot,"2400 Clarksville Pike, Nashville, TN 37208",36.1853833,-86.8159932,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
8,8,Save A Lot,"1134 Gallatin Pike S, Nashville, TN 37115",36.2505921,-86.72085469999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
9,9,Save A Lot,"5350 Mt View Rd, Antioch, TN 37013",36.0466808,-86.6493797,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
10,10,Save A Lot,"2400 Clarksville Pike, Nashville, TN 37208",36.1853833,-86.8159932,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
11,11,Save A Lot,"1113 Murfreesboro Pike, Nashville, TN 37217",36.1257545,-86.7109041,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
12,12,Save A Lot,"1134 Gallatin Pike S, Nashville, TN 37115",36.2505921,-86.72085469999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
13,13,Save A Lot,"5404 Charlotte Ave, Nashville, TN 37209",36.1521777,-86.8538342,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
14,14,Save A Lot,"2400 Clarksville Pike, Nashville, TN 37208",36.1853833,-86.8159932,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
15,15,Save A Lot,"1113 Murfreesboro Pike, Nashville, TN 37217",36.1257545,-86.7109041,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
16,16,Save A Lot,"1134 Gallatin Pike S, Nashville, TN 37115",36.2505921,-86.72085469999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
17,17,Save A Lot,"5154 Murfreesboro Rd, La Vergne, TN 37086",36.0193371,-86.5767419,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
18,18,Save A Lot,"5350 Mt View Rd, Antioch, TN 37013",36.0466808,-86.6493797,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
19,19,Save A Lot,"5404 Charlotte Ave, Nashville, TN 37209",36.1521777,-86.8538342,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
20,20,Save A Lot,"2400 Clarksville Pike, Nashville, TN 37208",36.1853833,-86.8159932,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
21,21,Save A Lot,"1113 Murfreesboro Pike, Nashville, TN 37217",36.1257545,-86.7109041,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
22,22,Save A Lot,"1134 Gallatin Pike S, Nashville, TN 37115",36.2505921,-86.72085469999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
23,23,Save A Lot,"5404 Charlotte Ave, Nashville, TN 37209",36.1521777,-86.8538342,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
24,24,Save A Lot,"1113 Murfreesboro Pike, Nashville, TN 37217",36.1257545,-86.7109041,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
25,25,Save A Lot,"2400 Clarksville Pike, Nashville, TN 37208",36.1853833,-86.8159932,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
26,26,Save A Lot,"1134 Gallatin Pike S, Nashville, TN 37115",36.2505921,-86.72085469999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
27,27,Save A Lot,"1113 Murfreesboro Pike, Nashville, TN 37217",36.1257545,-86.7109041,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
28,28,Save A Lot,"2400 Clarksville Pike, Nashville, TN 37208",36.1853833,-86.8159932,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
29,29,Save A Lot,"1134 Gallatin Pike S, Nashville, TN 37115",36.2505921,-86.72085469999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
30,30,Save A Lot,"1113 Murfreesboro Pike, Nashville, TN 37217",36.1257545,-86.7109041,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
31,31,Save A Lot,"2400 Clarksville Pike, Nashville, TN 37208",36.1853833,-86.8159932,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
32,32,Save A Lot,"1113 Murfreesboro Pike, Nashville, TN 37217",36.1257545,-86.7109041,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
33,33,Save A Lot,"1134 Gallatin Pike S, Nashville, TN 37115",36.2505921,-86.72085469999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
34,34,Save A Lot,"2400 Clarksville Pike, Nashville, TN 37208",36.1853833,-86.8159932,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
35,35,Save A Lot,"1113 Murfreesboro Pike, Nashville, TN 37217",36.1257545,-86.7109041,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
36,36,Save A Lot,"1134 Gallatin Pike S, Nashville, TN 37115",36.2505921,-86.72085469999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
37,37,Save A Lot,"5154 Murfreesboro Rd, La Vergne, TN 37086",36.0193371,-86.5767419,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
38,38,Save A Lot,"2400 Clarksville Pike, Nashville, TN 37208",36.1853833,-86.8159932,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
39,39,Save A Lot,"1113 Murfreesboro Pike, Nashville, TN 37217",36.1257545,-86.7109041,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
40,40,Save A Lot,"1134 Gallatin Pike S, Nashville, TN 37115",36.2505921,-86.72085469999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
41,41,Save A Lot,"5350 Mt View Rd, Antioch, TN 37013",36.0466808,-86.6493797,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
42,42,Save A Lot,"1113 Murfreesboro Pike, Nashville, TN 37217",36.1257545,-86.7109041,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
43,43,Save A Lot,"2400 Clarksville Pike, Nashville, TN 37208",36.1853833,-86.8159932,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
44,44,Save A Lot,"1134 Gallatin Pike S, Nashville, TN 37115",36.2505921,-86.72085469999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
45,45,Save A Lot,"5154 Murfreesboro Rd, La Vergne, TN 37086",36.0193371,-86.5767419,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
46,46,Save A Lot,"5350 Mt View Rd, Antioch, TN 37013",36.0466808,-86.6493797,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
47,47,Save A Lot,"2400 Clarksville Pike, Nashville, TN 37208",36.1853833,-86.8159932,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
48,48,Save A Lot,"1113 Murfreesboro Pike, Nashville, TN 37217",36.1257545,-86.7109041,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
49,49,Save A Lot,"1134 Gallatin Pike S, Nashville, TN 37115",36.2505921,-86.72085469999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
50,50,Save A Lot,"5154 Murfreesboro Rd, La Vergne, TN 37086",36.0193371,-86.5767419,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
51,51,Save A Lot,"5404 Charlotte Ave, Nashville, TN 37209",36.1521777,-86.8538342,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
52,52,Save A Lot,"2400 Clarksville Pike, Nashville, TN 37208",36.1853833,-86.8159932,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
53,53,Save A Lot,"1113 Murfreesboro Pike, Nashville, TN 37217",36.1257545,-86.7109041,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
54,54,Save A Lot,"1134 Gallatin Pike S, Nashville, TN 37115",36.2505921,-86.72085469999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
55,55,Save A Lot,"2400 Clarksville Pike, Nashville, TN 37208",36.1853833,-86.8159932,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
56,56,Save A Lot,"1113 Murfreesboro Pike, Nashville, TN 37217",36.1257545,-86.7109041,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
57,57,Save A Lot,"1134 Gallatin Pike S, Nashville, TN 37115",36.2505921,-86.72085469999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
58,58,Save A Lot,"5350 Mt View Rd, Antioch, TN 37013",36.0466808,-86.6493797,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
59,59,Save A Lot,"1134 Gallatin Pike S, Nashville, TN 37115",36.2505921,-86.72085469999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
60,60,Save A Lot,"1113 Murfreesboro Pike, Nashville, TN 37217",36.1257545,-86.7109041,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
61,61,Save A Lot,"2400 Clarksville Pike, Nashville, TN 37208",36.1853833,-86.8159932,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
62,62,Save A Lot,"5350 Mt View Rd, Antioch, TN 37013",36.0466808,-86.6493797,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
63,63,Save A Lot,"5154 Murfreesboro Rd, La Vergne, TN 37086",36.0193371,-86.5767419,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
64,64,Save A Lot,"2400 Clarksville Pike, Nashville, TN 37208",36.1853833,-86.8159932,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
65,65,Save A Lot,"1113 Murfreesboro Pike, Nashville, TN 37217",36.1257545,-86.7109041,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
66,66,Save A Lot,"1134 Gallatin Pike S, Nashville, TN 37115",36.2505921,-86.72085469999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
67,67,Save A Lot,"5154 Murfreesboro Rd, La Vergne, TN 37086",36.0193371,-86.5767419,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
68,68,Save A Lot,"5350 Mt View Rd, Antioch, TN 37013",36.0466808,-86.6493797,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
69,69,Save A Lot,"351 E Main St, Gallatin, TN 37066",36.3897155,-86.43921120000002,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
70,70,Save A Lot,"415 Hwy 52 E, Lafayette, TN 37083",36.519162,-86.0152696,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
71,71,Save A Lot,"750 Jessica St, Murfreesboro, TN 37130",35.83350170000001,-86.3772475,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
72,72,Save A Lot,"11225 S Main St, Tennessee Ridge, TN 37178",36.3104159,-87.7739119,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
73,73,Save A Lot,"112 E James Campbell Blvd, Columbia, TN 38401",35.5880857,-87.0386128,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
74,74,Save A Lot,"15391 TN-111, Spencer, TN 38585",35.7485504,-85.4579442,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
75,75,Save A Lot,"700 TN-100, Centerville, TN 37033",35.7981363,-87.4366294,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
76,76,Save A Lot,"1608 N Locust Ave Ste A, Lawrenceburg, TN 38464",35.259984,-87.3227866,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
77,77,Save A Lot,"509 S Congress Blvd, Smithville, TN 37166",35.9559727,-85.812342,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
78,78,Save A Lot,"840 Main St, Tracy City, TN 37387",35.2577726,-85.7253987,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
79,79,Save A Lot,"225 Water St, Savannah, TN 38372",35.2215509,-88.24543039999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
80,80,Save A Lot,"1224 Hillsboro Blvd, Manchester, TN 37355",35.47099499999999,-86.0764875,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
81,81,Save A Lot,"442 TN-8 A, Dunlap, TN 37327",35.3990076,-85.3806761,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
82,82,Save A Lot,"231 Northgate Dr Ste 216, McMinnville, TN 37110",35.7000344,-85.7824381,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
