,shop_name,shop_address,shop_lat,shop_lng,types
0,Kroger,"3410 Gallatin Pike, Nashville, TN 37216",36.2101364,-86.73166479999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
1,Madison Inglewood Market,"4702 Gallatin Pike, Nashville, TN 37216",36.2305556,-86.7247222,"['convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
2,Litton's Corner Market,"2830 Gallatin Pike, Nashville, TN 37216",36.2022406,-86.7389614,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
3,Save A Lot,"1134 Gallatin Pike S, Nashville, TN 37115",36.2505921,-86.72085469999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
4,Publix Super Market at Hill Center Greenwood,"1111 Gallatin Ave, Nashville, TN 37206",36.1898456,-86.7449475,"['supermarket', 'florist', 'bakery', 'grocery_or_supermarket', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']"
5,H G Hill Food Stores,"3105 Dickerson Pike, Nashville, TN 37207",36.2301425,-86.7577511,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
6,Gallatin Rd Market,"2900 Gallatin Pike, Nashville, TN 37216",36.2025951,-86.7386315,"['point_of_interest', 'store', 'establishment']"
7,Kroger,"711 Gallatin Ave, Nashville, TN 37206",36.1844297,-86.7468566,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
8,MADISON MARKET,"201 E Webster St #109, Nashville, TN 37115",36.251676,-86.71627500000001,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
9,ET market discount tobacco&beer,"4000 Gallatin Pike, Nashville, TN 37216",36.2197437,-86.72704929999999,"['point_of_interest', 'store', 'establishment']"
10,Jerry's Market,"1401 Gallatin Ave Unit B, Nashville, TN 37206",36.1938244,-86.74361520000001,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
11,Village Market,"313 Rosebank Ave, Nashville, TN 37206",36.1867333,-86.7251472,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
12,ALDI,"615 Gallatin Ave, Nashville, TN 37206",36.1832883,-86.7475518,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
13,Dollar General,"3006 Gallatin Pike, Nashville, TN 37216",36.2035865,-86.7379182,"['drugstore', 'convenience_store', 'home_goods_store', 'food', 'health', 'point_of_interest', 'store', 'establishment']"
14,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.76702279999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
15,Porter Road Grocery,"703 Porter Rd, Nashville, TN 37206",36.1827453,-86.73262629999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
16,4 Way Market,"1401 Fatherland St, Nashville, TN 37206",36.1739353,-86.7459564,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
17,Garden Fresh Food Market,"800 Madison Square, Madison, TN 37115",36.2553762,-86.7163777,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
18,Kroger Deli,"3410 Gallatin Pike, Nashville, TN 37216",36.2104057,-86.73156279999999,"['food', 'point_of_interest', 'store', 'establishment']"
19,KWIK STOP MERCADO 2,"201 E Webster St, Madison, TN 37115",36.2516629,-86.7162701,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
20,Express Market,"99 E Webster St, Madison, TN 37115",36.2517761,-86.7168684,"['convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
21,Walmart Neighborhood Market,"109 Gallatin Pike N, Madison, TN 37115",36.2639405,-86.7140491,"['supermarket', 'department_store', 'bakery', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
22,Dollar Tree,"3409 Gallatin Pike, Nashville, TN 37216",36.2113499,-86.733568,"['grocery_or_supermarket', 'furniture_store', 'home_goods_store', 'food', 'point_of_interest', 'store', 'establishment']"
23,Uptown Fruit Market,"1431 Dickerson Pike, Nashville, TN 37207",36.1999223,-86.7696038,"['grocery_or_supermarket', 'finance', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
24,Tower Market and Deli,"1305 Gallatin Ave, Nashville, TN 37206",36.1928233,-86.7439368,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
