,shop_name,shop_address,shop_lat,shop_lng,types
0,Kwik Sak,"3710 Gallatin Pike, Nashville, TN 37216",36.214093,-86.7304319,"['convenience_store', 'gas_station', 'food', 'point_of_interest', 'store', 'establishment']"
1,Mapco,"4126 Gallatin Pike, Nashville, TN 37216",36.2223899,-86.7253753,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
2,Speedway,"2600 Gallatin Pike, Nashville, TN 37216",36.1971789,-86.74154519999999,"['gas_station', 'convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
3,Madison Inglewood Market,"4702 Gallatin Pike, Nashville, TN 37216",36.2305556,-86.7247222,"['convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
4,Five Star C-Store,"2301 Riverside Dr, Nashville, TN 37216",36.2050321,-86.7241459,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
5,Save A Trip Market & Laundry,"1520 Porter Rd, Nashville, TN 37206",36.1947102,-86.7257111,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
6,Shell,"4800 Gallatin Pike, Nashville, TN 37216",36.2314712,-86.7245657,"['gas_station', 'atm', 'convenience_store', 'finance', 'food', 'point_of_interest', 'store', 'establishment']"
7,Village Market,"313 Rosebank Ave, Nashville, TN 37206",36.1867333,-86.7251472,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
8,Jerry's Market,"1401 Gallatin Ave Unit B, Nashville, TN 37206",36.1938244,-86.74361520000001,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
9,Z-Mart,"927 Gallatin Ave, Nashville, TN 37206",36.1879609,-86.74594069999999,"['convenience_store', 'atm', 'gas_station', 'finance', 'food', 'point_of_interest', 'store', 'establishment']"
10,MAPCO Mart,"1516 Gallatin Pike S, Madison, TN 37115",36.237731,-86.72476700000001,"['gas_station', 'convenience_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
11,7-Eleven,"3144 Dickerson Pike, Nashville, TN 37207",36.2328287,-86.75912240000001,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
12,MAPCO Mart,"1201 Gallatin Pike S, Madison, TN 37115",36.247771,-86.72006139999999,"['gas_station', 'convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
13,7-Eleven,"819 Gallatin Pike S, Madison, TN 37115",36.25333440000001,-86.71625039999999,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
14,Dollar General,"3006 Gallatin Pike, Nashville, TN 37216",36.2035865,-86.7379182,"['drugstore', 'convenience_store', 'home_goods_store', 'food', 'health', 'point_of_interest', 'store', 'establishment']"
15,Express Market,"99 E Webster St, Madison, TN 37115",36.2517761,-86.7168684,"['convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
16,Mapco,"Grand Central Shopping Center, 3053 Dickerson Pike, Nashville, TN 37207",36.228976,-86.7590091,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
17,t Fuel #6607,"101 Gallatin Pike N, Madison, TN 37115",36.2635463,-86.7123065,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
18,Super Fiesta Latina Market,"107 E Due W Ave #5201, Madison, TN 37115",36.2482348,-86.7189063,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
19,Jammers Market LLC,"1519 Jones Ave, Nashville, TN 37207",36.2012247,-86.75815539999999,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
