,shop_name,shop_address,shop_lat,shop_lng,types
0,Shell,"4800 Gallatin Pike, Nashville, TN 37216",36.2314712,-86.7245657,"['gas_station', 'atm', 'convenience_store', 'finance', 'food', 'point_of_interest', 'store', 'establishment']"
1,MAPCO,"4134 Gallatin Pike, Nashville, TN 37216",36.2224837,-86.7256166,"['gas_station', 'convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
2,Kroger Fuel Center,"3410 Gallatin Pike, Nashville, TN 37216",36.2100135,-86.7331378,"['gas_station', 'point_of_interest', 'establishment']"
3,Citgo,"2301 Riverside Dr, Nashville, TN 37216",36.20503,-86.7241119,"['gas_station', 'point_of_interest', 'establishment']"
4,Speedway,"2600 Gallatin Pike, Nashville, TN 37216",36.1968998,-86.74170389999999,"['gas_station', 'point_of_interest', 'establishment']"
5,Delta Express,"4134 Gallatin Pike, Nashville, TN 37216",36.2224837,-86.7256166,"['gas_station', 'point_of_interest', 'establishment']"
6,Kwik Sak,"3710 Gallatin Pike, Nashville, TN 37216",36.214093,-86.7304319,"['convenience_store', 'gas_station', 'food', 'point_of_interest', 'store', 'establishment']"
7,Turkeyhill,"3358 Gallatin Pike, Nashville, TN 37216",36.2100038,-86.73351459999999,"['gas_station', 'point_of_interest', 'establishment']"
8,Porter Road Gulf,"834 Porter Rd, Nashville, TN 37206",36.1861691,-86.73069509999999,"['gas_station', 'point_of_interest', 'establishment']"
9,bp,"1516 Gallatin Pike S, Madison, TN 37115",36.2377219,-86.72476900000001,"['gas_station', 'atm', 'finance', 'restaurant', 'food', 'point_of_interest', 'establishment']"
10,Shell,"1190 Gallatin Pike S, Madison, TN 37115",36.248425,-86.72043699999999,"['gas_station', 'atm', 'convenience_store', 'finance', 'food', 'point_of_interest', 'store', 'establishment']"
11,MAPCO Mart,"1201 Gallatin Pike S, Madison, TN 37115",36.247771,-86.72006139999999,"['gas_station', 'convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
12,Z-Mart,"927 Gallatin Ave, Nashville, TN 37206",36.1879609,-86.74594069999999,"['convenience_store', 'atm', 'gas_station', 'finance', 'food', 'point_of_interest', 'store', 'establishment']"
13,bp,"2471A McGavock Pk, Nashville, TN 37214",36.21763540000001,-86.6997675,"['gas_station', 'convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
14,Citgo,"Lemuel Rd, Nashville, TN 37207",36.2157404,-86.76343159999999,"['gas_station', 'point_of_interest', 'establishment']"
15,Kroger Fuel Center,"711 Gallatin Ave, Nashville, TN 37206",36.1853402,-86.747265,"['gas_station', 'point_of_interest', 'establishment']"
16,Dickerson Road Citgo,"3056 Dickerson Pike, Nashville, TN 37207",36.2291848,-86.75964139999999,"['gas_station', 'point_of_interest', 'establishment']"
17,Exxon,"3144 Dickerson Pike, Nashville, TN 37207",36.2328352,-86.75909829999999,"['gas_station', 'point_of_interest', 'establishment']"
18,Saint George Market,"3123 Dickerson Pike, Nashville, TN 37207",36.231935,-86.75839429999999,"['gas_station', 'point_of_interest', 'establishment']"
19,Shell,"1001 Shelby Ave, Nashville, TN 37206",36.1715523,-86.7518729,"['gas_station', 'atm', 'convenience_store', 'finance', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
20,Shell,"1331 Briarville Rd, Madison, TN 37115",36.24291350000001,-86.73617,"['gas_station', 'atm', 'convenience_store', 'finance', 'food', 'point_of_interest', 'store', 'establishment']"
21,MAPCO,"3053 Dickerson Pike, Nashville, TN 37207",36.2290431,-86.75899749999999,"['gas_station', 'convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
22,EASTSIDE GAS SHOP-N-GO,"726 Mcferrin Ave, Nashville, TN 37206",36.1842375,-86.7550526,"['gas_station', 'point_of_interest', 'establishment']"
23,Exxon,"819 Gallatin Pike S, Madison, TN 37115",36.25346280000001,-86.7162005,"['gas_station', 'convenience_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
24,Shell,"101 Gallatin Pike N, Madison, TN 37115",36.263378,-86.7123208,"['gas_station', 'atm', 'convenience_store', 'finance', 'food', 'point_of_interest', 'store', 'establishment']"
25,MAPCO Mart,"2813 Dickerson Pike, Nashville, TN 37207",36.218611,-86.7623941,"['gas_station', 'convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
26,Shell,"413 E Old Hickory Blvd, Madison, TN 37115",36.262918,-86.704836,"['gas_station', 'point_of_interest', 'establishment']"
27,Citgo,"701 Dickerson Pike, Nashville, TN 37207",36.1834471,-86.7735567,"['gas_station', 'convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
28,Murphy Express,"3434 Doverside Dr, Nashville, TN 37207",36.2434864,-86.757311,"['gas_station', 'convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
29,Gas Station,"766 Douglas Ave, Nashville, TN 37207",36.1930944,-86.7536492,"['gas_station', 'point_of_interest', 'establishment']"
30,MAPCO,"160 McGavock Pk, Nashville, TN 37214",36.1696463,-86.68010489999999,"['gas_station', 'convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
31,CITGO East Nashville,"500 Main St, Nashville, TN 37206",36.1728044,-86.76475320000002,"['gas_station', 'convenience_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
32,Citgo,"336 E Trinity Ln, Nashville, TN 37207",36.2052219,-86.7618148,"['gas_station', 'point_of_interest', 'establishment']"
33,Kroger Fuel Center,"200 Gallatin Pike N, Madison, TN 37115",36.2619856,-86.7127783,"['gas_station', 'point_of_interest', 'establishment']"
34,G dragon mart,"2705 Dickerson Pike, Nashville, TN 37207",36.2162107,-86.7633591,"['gas_station', 'point_of_interest', 'establishment']"
35,Kroger Fuel Center,"145 McGavock Pk, Nashville, TN 37214",36.1705983,-86.67868229999999,"['gas_station', 'point_of_interest', 'establishment']"
36,VALLEY MARKET,"2425 Music Valley Dr, Nashville, TN 37214",36.21904,-86.6938206,"['gas_station', 'point_of_interest', 'establishment']"
37,Exxon,"Rudy Cir, Nashville, TN 37214",36.2188823,-86.69328759999999,"['gas_station', 'point_of_interest', 'establishment']"
38,Z Mart,"803 Dickerson Pike, Nashville, TN 37207",36.18473150000001,-86.7733919,"['gas_station', 'point_of_interest', 'establishment']"
39,Shell,"1420 Gallatin Pike N, Madison, TN 37115",36.2827488,-86.7068956,"['gas_station', 'atm', 'convenience_store', 'finance', 'food', 'point_of_interest', 'store', 'establishment']"
40,Sunoco,"2202 Dickerson Pike, Nashville, TN 37207",36.2061248,-86.76884659999999,"['gas_station', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
41,A Plus,"227 Shelby Ave, Nashville, TN 37213",36.1665304,-86.76653309999999,"['gas_station', 'point_of_interest', 'establishment']"
42,MAPCO Mart,"712 Main St, Nashville, TN 37206",36.1746163,-86.7599582,"['gas_station', 'convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
43,Marathon,"342 E Trinity Ln, Nashville, TN 37207",36.2052431,-86.7618481,"['gas_station', 'point_of_interest', 'establishment']"
44,Shell,"500 Donelson Pike, Nashville, TN 37214",36.15044080000001,-86.66678069999999,"['gas_station', 'convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
45,Shell,"3863 Dickerson Pike, Nashville, TN 37207",36.268857,-86.755242,"['gas_station', 'atm', 'convenience_store', 'finance', 'food', 'point_of_interest', 'store', 'establishment']"
46,Exxon,"2425 Music Valley Dr, Nashville, TN 37214",36.2189662,-86.69365119999999,"['gas_station', 'point_of_interest', 'establishment']"
47,Exxon,"227 Shelby Ave, Nashville, TN 37213",36.1662861,-86.76640080000001,"['gas_station', 'point_of_interest', 'establishment']"
48,Melrose Gas Station,"2609 8th Ave S, Nashville, TN 37204",36.1215541,-86.7757476,"['gas_station', 'convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
49,Phillips 66,"240 N 1st St, Nashville, TN 37213",36.1765293,-86.7751309,"['gas_station', 'point_of_interest', 'establishment']"
50,MyStik,"298 N 1st St, Nashville, TN 37207",36.1766714,-86.7748793,"['gas_station', 'point_of_interest', 'establishment']"
51,Marathon,"1101 Woodland St, Nashville, TN 37206",36.1777787,-86.7497868,"['gas_station', 'point_of_interest', 'establishment']"
52,MAPCO Mart,"1311 Neelys Bend Rd, Madison, TN 37115",36.2394821,-86.67183589999999,"['gas_station', 'convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
53,Thorntons,"317 Myatt Dr, Madison, TN 37115",36.27144,-86.68919,"['convenience_store', 'atm', 'gas_station', 'bakery', 'finance', 'cafe', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
54,bp,"801 Jefferson St, Nashville, TN 37208",36.1729586,-86.7916134,"['gas_station', 'point_of_interest', 'establishment']"
55,Marathon Gas,"234 W Trinity Ln, Nashville, TN 37207",36.20646869999999,-86.7790891,"['gas_station', 'point_of_interest', 'establishment']"
56,Shell,"2417 Lebanon Pike, Nashville, TN 37214",36.169013,-86.68110569999999,"['gas_station', 'point_of_interest', 'establishment']"
57,Raceway,"577 Donelson Pike, Nashville, TN 37214",36.1437095,-86.66632229999999,"['gas_station', 'point_of_interest', 'establishment']"
58,Shell,"601 Fesslers Ln, Nashville, TN 37210",36.1442319,-86.7443894,"['gas_station', 'atm', 'convenience_store', 'finance', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
59,Shell,"2112 Charlotte Ave, Nashville, TN 37203",36.15665730000001,-86.8069031,"['gas_station', 'atm', 'car_wash', 'convenience_store', 'finance', 'food', 'point_of_interest', 'store', 'establishment']"
