,shop_name,shop_address,shop_lat,shop_lng,types
0,Fresh & Fresh International Market,"3905 Nolensville Pike, Nashville, TN 37211",36.085944,-86.73026,"['grocery_or_supermarket', 'convenience_store', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
1,World Wide Market International Groceries,"3808 Nolensville Pike, Nashville, TN 37211",36.0879187,-86.7296679,"['grocery_or_supermarket', 'pharmacy', 'finance', 'food', 'health', 'point_of_interest', 'store', 'establishment']"
2,Mazfresco Market,"3953 Nolensville Pike, Nashville, TN 37211",36.0847584,-86.7303895,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
3,Woodbine Fresh Market,"3302 Nolensville Pike, Nashville, TN 37211",36.1014833,-86.739948,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
4,K&S World Market,"4225 Nolensville Pike, Nashville, TN 37211",36.0751738,-86.7259686,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
5,Walmart Neighborhood Market,"5531 Edmondson Pike, Nashville, TN 37211",36.0421931,-86.7456447,"['supermarket', 'department_store', 'bakery', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
6,Publix Super Market at Nippers Corner,"15544 Old Hickory Blvd, Nashville, TN 37211",36.04102719999999,-86.7414412,"['supermarket', 'florist', 'bakery', 'grocery_or_supermarket', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']"
7,InterAsian Market & Deli,"2160 Nolensville Pike, Nashville, TN 37211",36.1282806,-86.7535285,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
8,Kroger,"5713 Edmondson Pike, Nashville, TN 37211",36.0391811,-86.7454053,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
9,La Rancherita Supermarket,"3759 Nolensville Pike, Nashville, TN 37211",36.0914528,-86.73643249999999,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
10,Super Latina Market,"14911 Old Hickory Blvd, Nashville, TN 37211",36.0447222,-86.7033333,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
11,ALDI,"3758 Nolensville Pike, Nashville, TN 37211",36.0902874,-86.73231439999999,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
12,Kroger,"5771 Nolensville Road, Nashville, TN 37211",36.04639470000001,-86.7152435,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
13,Patel Brothers,"420 Harding Pl, Nashville, TN 37211",36.0815086,-86.7276,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
14,Supermercado Mexico,"3744 Nolensville Pike, Nashville, TN 37211",36.0918392,-86.73468280000002,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
15,Botan Market Inc,"4905 Edmondson Pike, Nashville, TN 37211",36.0770497,-86.7263638,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
16,Kroger,"61 E Thompson Ln, Nashville, TN 37211",36.1098179,-86.7250687,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
17,Talpa Supermercados,"5127 Nolensville Pike, Nashville, TN 37211",36.0577551,-86.7171389,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
18,Mi Ranchito Market,"312 Natchez Ct, Nashville, TN 37211",36.0939855,-86.73509159999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
19,Local Fruits & Veggies,"4051 Nolensville Pike, Nashville, TN 37211",36.0813332,-86.72792489999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
20,Osborne Bi-Rite,"3302 Nolensville Pike, Nashville, TN 37211",36.1014506,-86.7401198,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
21,Tara International Market,"3721 Nolensville Pike, Nashville, TN 37211",36.09450700000001,-86.737204,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
22,International Food Mart,"2855 Logan St, Nashville, TN 37211",36.111472,-86.7421956,"['grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
23,Newroz Marketسوبر ماركت,"393 Elysian Fields Ct, Nashville, TN 37211",36.0874481,-86.7292667,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
24,Baraka International Market & Bakery,"5596 Nolensville Pike, Nashville, TN 37211",36.0481967,-86.7097373,"['grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
25,Zomi Oriental Market,"415 Harding Pl, Nashville, TN 37211",36.0782342,-86.72751799999999,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
26,J R Market,"5303 Nolensville Pike, Nashville, TN 37211",36.0532901,-86.71539709999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
27,Azadi International Food Market & Bakery,"391 Elysian Fields Ct, Nashville, TN 37211",36.0874399,-86.7290707,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
28,Amir International Market,"4732 Nolensville Pike, Nashville, TN 37211",36.066922,-86.717632,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
29,El Tapatio Super Mercado,"4736 Nolensville Pike, Nashville, TN 37211",36.0665865,-86.71744249999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
30,La Yaquita Super Mercado & Carniceria,"2704 Nolensville Pike, Nashville, TN 37211",36.11418,-86.74626119999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
31,Dollar General Market,"301 E Thompson Ln, Nashville, TN 37211",36.1258363,-86.7138918,"['grocery_or_supermarket', 'drugstore', 'convenience_store', 'home_goods_store', 'food', 'health', 'point_of_interest', 'store', 'establishment']"
32,Mi Tierra Supermarket,"5140 Nolensville Pike, Nashville, TN 37211",36.0563375,-86.7150439,"['convenience_store', 'supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
33,Sulav / Nashville International Food Market & Bakery,"4647 Nolensville Pike, Nashville, TN 37211",36.0687018,-86.7204199,"['grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
34,Walmart Supercenter,"4040 Nolensville Pike, Nashville, TN 37211",36.0824717,-86.725605,"['department_store', 'hardware_store', 'bakery', 'grocery_or_supermarket', 'electronics_store', 'furniture_store', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']"
35,DG Market + pOpshelf,"5445 Nolensville Pike, Nashville, TN 37211",36.0495228,-86.7155863,"['grocery_or_supermarket', 'convenience_store', 'home_goods_store', 'food', 'point_of_interest', 'store', 'establishment']"
36,US Discount Tobacco & Beer,"1997 Nolensville Pike, Nashville, TN 37211",36.1318231,-86.7573699,"['grocery_or_supermarket', 'convenience_store', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']"
37,Silva produce 🥭🍍🍉🍊🥥,"339 Alice Ave, Nashville, TN 37211",36.0727436,-86.72375939999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
38,Zaytun International Groceries,"3808 Nolensville Pike, Nashville, TN 37211",36.087826,-86.7297059,"['grocery_or_supermarket', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']"
39,Thompson Lane Market,"1004 E Thompson Ln # B, Nashville, TN 37211",36.1160753,-86.7190802,"['convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
40,Elysian Market,"3815 Nolensville Pike, Nashville, TN 37211",36.0869133,-86.73065179999999,"['gas_station', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
41,Baleadas,"369 Harding Pl, Nashville, TN 37211",36.0840113,-86.70535579999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
42,Laoxelang,"2861 Logan St, Nashville, TN 37211",36.1112883,-86.7421973,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
43,Mazi International Food Market,"360 Elysian Fields Ct, Nashville, TN 37211",36.0869394,-86.728442,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
44,Snyders of Hanover,"230 Space Park S Dr, Nashville, TN 37211",36.0974711,-86.70562799999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
45,El Rodeo Mercado Latino 2,"3709 Nolensville Pike, Nashville, TN 37211",36.0952288,-86.73766909999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
46,Super Mercado Latina,"4539 Nolensville Pike, Nashville, TN 37211",36.0701533,-86.72258699999999,"['convenience_store', 'supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
47,Rajdhani Groceries and Cafe,"1453 Bell Rd Suit 106, Nashville, TN 37211",36.0450621,-86.68684209999999,"['grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
48,Aleksey's Market,"718 Thompson Ln, Nashville, TN 37204",36.1128669,-86.76522740000001,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
49,Lava International Market,"4647 Nolensville Pike, Nashville, TN 37211",36.0686912,-86.7204131,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
50,Walmart Supercenter,"5824 Nolensville Pike, Nashville, TN 37211",36.0419415,-86.7091763,"['department_store', 'hardware_store', 'bakery', 'grocery_or_supermarket', 'electronics_store', 'furniture_store', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']"
51,Kroger,"2615 Franklin Pike, Nashville, TN 37204",36.1199446,-86.7771798,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
52,Linbar Fruit Market,"238 Largo Dr, Nashville, TN 37211",36.0839681,-86.7055275,"['supermarket', 'grocery_or_supermarket', 'finance', 'food', 'point_of_interest', 'store', 'establishment']"
53,Publix Super Market at Melrose,"2223 8th Ave S, Nashville, TN 37204",36.1285944,-86.7784628,"['supermarket', 'florist', 'bakery', 'grocery_or_supermarket', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']"
54,Tennessee Oriental Market 만나식품,"5574 Nolensville Pike, Nashville, TN 37211",36.0482288,-86.71008499999999,"['grocery_or_supermarket', 'food', 'health', 'point_of_interest', 'store', 'establishment']"
55,Noor Market,"540 Paragon Mills Rd, Nashville, TN 37211",36.0854453,-86.72744589999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
56,CLUB JAZMÍN ORTIZ,"14903 Old Hickory Blvd, Nashville, TN 37211",36.0448819,-86.7030266,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
57,Distribuidora Limena Inc,"1188 Antioch Pike, Nashville, TN 37211",36.0936965,-86.69855489999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
58,L & E Market,"606 Millwood Dr, Nashville, TN 37217",36.1300845,-86.71378399999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
59,Maria Supermercado,"541 Paragon Mills Rd, Nashville, TN 37211",36.084913,-86.72723599999999,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
