,shop_name,shop_address,shop_lat,shop_lng,types
53,Piggly Wiggly,"1412 Trotwood Ave, Columbia, TN 38401",35.5998942,-87.0780041,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
1,Piggly Wiggly,"1439 Robinson Rd, Old Hickory, TN 37138",36.2563463,-86.6536169,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
6,Piggly Wiggly,"1439 Robinson Rd, Old Hickory, TN 37138",36.2563463,-86.6536169,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
9,Piggly Wiggly,"1439 Robinson Rd, Old Hickory, TN 37138",36.2563463,-86.6536169,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
12,Piggly Wiggly,"1439 Robinson Rd, Old Hickory, TN 37138",36.2563463,-86.6536169,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
18,Piggly Wiggly,"1439 Robinson Rd, Old Hickory, TN 37138",36.2563463,-86.6536169,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
22,Piggly Wiggly,"1439 Robinson Rd, Old Hickory, TN 37138",36.2563463,-86.6536169,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
24,Piggly Wiggly,"1439 Robinson Rd, Old Hickory, TN 37138",36.2563463,-86.6536169,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
26,Piggly Wiggly,"1439 Robinson Rd, Old Hickory, TN 37138",36.2563463,-86.6536169,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
28,Piggly Wiggly,"1439 Robinson Rd, Old Hickory, TN 37138",36.2563463,-86.6536169,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
30,Piggly Wiggly,"1439 Robinson Rd, Old Hickory, TN 37138",36.2563463,-86.6536169,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
34,Piggly Wiggly,"1439 Robinson Rd, Old Hickory, TN 37138",36.2563463,-86.6536169,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
36,Piggly Wiggly,"1439 Robinson Rd, Old Hickory, TN 37138",36.2563463,-86.6536169,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
38,Piggly Wiggly,"1439 Robinson Rd, Old Hickory, TN 37138",36.2563463,-86.6536169,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
42,Piggly Wiggly,"1439 Robinson Rd, Old Hickory, TN 37138",36.2563463,-86.6536169,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
45,Piggly Wiggly,"1439 Robinson Rd, Old Hickory, TN 37138",36.2563463,-86.6536169,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
47,Piggly Wiggly,"1439 Robinson Rd, Old Hickory, TN 37138",36.2563463,-86.6536169,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
50,Piggly Wiggly,"1439 Robinson Rd, Old Hickory, TN 37138",36.2563463,-86.6536169,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
0,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
5,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
8,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
11,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
14,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
16,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
17,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
20,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
21,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
23,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
25,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
27,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
29,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
31,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
33,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
35,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
37,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
40,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
41,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
44,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
46,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
48,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
51,Piggly Wiggly,"2317 Dickerson Pike, Nashville, TN 37207",36.2077791,-86.7670228,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
7,Piggly Wiggly,"2900 West End Ave, Nashville, TN 37203",36.1445892,-86.8136,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
10,Piggly Wiggly,"2900 West End Ave, Nashville, TN 37203",36.1445892,-86.8136,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
13,Piggly Wiggly,"2900 West End Ave, Nashville, TN 37203",36.1445892,-86.8136,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
15,Piggly Wiggly,"2900 West End Ave, Nashville, TN 37203",36.1445892,-86.8136,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
19,Piggly Wiggly,"2900 West End Ave, Nashville, TN 37203",36.1445892,-86.8136,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
32,Piggly Wiggly,"2900 West End Ave, Nashville, TN 37203",36.1445892,-86.8136,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
39,Piggly Wiggly,"2900 West End Ave, Nashville, TN 37203",36.1445892,-86.8136,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
43,Piggly Wiggly,"2900 West End Ave, Nashville, TN 37203",36.1445892,-86.8136,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
49,Piggly Wiggly,"2900 West End Ave, Nashville, TN 37203",36.1445892,-86.8136,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
4,Piggly Wiggly,"3611 Gallatin Pike, Nashville, TN 37216",36.2126435,-86.7325718,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
3,Piggly Wiggly,"7838 TN-25, Cross Plains, TN 37049",36.5485619,-86.6942559,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
52,Piggly Wiggly,"7838 TN-25, Cross Plains, TN 37049",36.5485619,-86.6942559,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
