,shop_name,shop_address,shop_lat,shop_lng,types
0,Darfons Restaurant & Lounge,"2810 Elm Hill Pike, Nashville, TN 37214",36.148909,-86.664924,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
1,MISSION BBQ,"161 Opry Mills Dr, Nashville, TN 37214",36.2047667,-86.69159719999999,"['restaurant', 'food', 'point_of_interest', 'establishment']"
2,Jalisco Restaurant,"519 Donelson Pike, Nashville, TN 37214",36.1483408,-86.66530879999999,"['restaurant', 'food', 'point_of_interest', 'establishment']"
3,Sindoore,"457 Donelson Pike, Nashville, TN 37214",36.1515216,-86.6660272,"['restaurant', 'food', 'point_of_interest', 'establishment']"
4,Habanero Grill,"2543 Lebanon Pike, Nashville, TN 37214",36.1696401,-86.6759568,"['restaurant', 'food', 'point_of_interest', 'establishment']"
5,Mirko Pasta,"2264 Lebanon Pike, Nashville, TN 37214",36.1693686,-86.68501750000001,"['restaurant', 'food', 'point_of_interest', 'establishment']"
6,The Bistro Restaurant,"2512 Elm Hill Pike, Nashville, TN 37214",36.1527238,-86.681326,"['restaurant', 'food', 'point_of_interest', 'establishment']"
7,Party Fowl Donelson,"2620 Lebanon Pike, Nashville, TN 37214",36.16965,-86.6713,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
8,Aquarium Restaurant,"516 Opry Mills Dr, Nashville, TN 37214",36.2053233,-86.6935926,"['aquarium', 'amusement_park', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
9,Uncle Bud's Catfish Chicken & Such,"2719 Old Lebanon Rd, Nashville, TN 37214",36.1693341,-86.6677189,"['restaurant', 'food', 'point_of_interest', 'establishment']"
10,Semper Slider,"2416 Music Valley Dr, Nashville, TN 37214",36.2187185,-86.6954149,"['restaurant', 'food', 'point_of_interest', 'establishment']"
11,Rainforest Cafe,"353 Opry Mills Dr, Nashville, TN 37214",36.2001944,-86.69168479999999,"['restaurant', 'food', 'point_of_interest', 'establishment']"
12,Nectar: Urban Cantina,"206 McGavock Pk, Nashville, TN 37214",36.1681726,-86.68040719999999,"['restaurant', 'food', 'point_of_interest', 'establishment']"
13,New China,"450 Donelson Pike, Nashville, TN 37214",36.1509979,-86.6670109,"['restaurant', 'food', 'point_of_interest', 'establishment']"
14,Bamboo Garden,"2286 Lebanon Pike, Nashville, TN 37214",36.1698692,-86.68528549999999,"['restaurant', 'food', 'point_of_interest', 'establishment']"
15,Caney Fork River Valley Grille,"2400 Music Valley Dr, Nashville, TN 37214",36.2175836,-86.6967543,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
16,Zulema's Kitchen,"555 Marriott Dr #105, Nashville, TN 37214",36.1482,-86.68937199999999,"['restaurant', 'food', 'point_of_interest', 'establishment']"
17,Cascades American Cafe,"2800 Opryland Dr, Nashville, TN 37214",36.212239,-86.6961707,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
18,Paula Deen's Family Kitchen,"575 Opry Mills Dr, Nashville, TN 37214",36.2028191,-86.6949753,"['restaurant', 'food', 'point_of_interest', 'establishment']"
19,El Mojito Mexican restaurant,"450 Donelson Pike A1, Nashville, TN 37214",36.1509979,-86.6670109,"['restaurant', 'food', 'point_of_interest', 'establishment']"
20,Chuy's,"163B Opry Mills Dr, Nashville, TN 37214",36.2042049,-86.69154859999999,"['restaurant', 'food', 'point_of_interest', 'establishment']"
21,Santa Fe Cattle Company,"2520 Music Valley Dr, Nashville, TN 37214",36.2255669,-86.6961746,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
22,Music City Gyros,"450 Donelson Pike C, Nashville, TN 37214",36.1512419,-86.6670208,"['restaurant', 'food', 'point_of_interest', 'establishment']"
23,McNamara's Irish Pub & Restaurant,"2740 Old Lebanon Rd, Nashville, TN 37214",36.1687953,-86.66447529999999,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
24,Fletcher's Pizza,"2715 Old Lebanon Rd, Nashville, TN 37214",36.169492,-86.668055,"['restaurant', 'food', 'point_of_interest', 'establishment']"
25,Kelly's Cajun Grill,"447 Opry Mills Dr, Nashville, TN 37214",36.2023333,-86.693,"['restaurant', 'food', 'point_of_interest', 'establishment']"
26,The Nashville Tap House,"600 Marriott Dr, Nashville, TN 37214",36.14616609999999,-86.69296700000001,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
27,Bar-B-Cutie SmokeHouse,"501 Donelson Pike, Nashville, TN 37214",36.1503861,-86.66609439999999,"['restaurant', 'food', 'point_of_interest', 'establishment']"
