,shop_name,shop_address,shop_lat,shop_lng,types
1,The Turnip Truck - Gulch,"321 12th Ave S, Nashville, TN 37203",36.1527599,-86.7854587,"['grocery_or_supermarket', 'food', 'health', 'point_of_interest', 'store', 'establishment']"
2,The Turnip Truck - Gulch,"321 12th Ave S, Nashville, TN 37203",36.1527599,-86.7854587,"['grocery_or_supermarket', 'food', 'health', 'point_of_interest', 'store', 'establishment']"
7,The Turnip Truck - Gulch,"321 12th Ave S, Nashville, TN 37203",36.1527599,-86.7854587,"['grocery_or_supermarket', 'food', 'health', 'point_of_interest', 'store', 'establishment']"
9,The Turnip Truck - Gulch,"321 12th Ave S, Nashville, TN 37203",36.1527599,-86.7854587,"['grocery_or_supermarket', 'food', 'health', 'point_of_interest', 'store', 'establishment']"
13,The Turnip Truck - Gulch,"321 12th Ave S, Nashville, TN 37203",36.1527599,-86.7854587,"['grocery_or_supermarket', 'food', 'health', 'point_of_interest', 'store', 'establishment']"
16,The Turnip Truck - Gulch,"321 12th Ave S, Nashville, TN 37203",36.1527599,-86.7854587,"['grocery_or_supermarket', 'food', 'health', 'point_of_interest', 'store', 'establishment']"
18,The Turnip Truck - Gulch,"321 12th Ave S, Nashville, TN 37203",36.1527599,-86.7854587,"['grocery_or_supermarket', 'food', 'health', 'point_of_interest', 'store', 'establishment']"
21,The Turnip Truck - Gulch,"321 12th Ave S, Nashville, TN 37203",36.1527599,-86.7854587,"['grocery_or_supermarket', 'food', 'health', 'point_of_interest', 'store', 'establishment']"
23,The Turnip Truck - Gulch,"321 12th Ave S, Nashville, TN 37203",36.1527599,-86.7854587,"['grocery_or_supermarket', 'food', 'health', 'point_of_interest', 'store', 'establishment']"
27,The Turnip Truck - Gulch,"321 12th Ave S, Nashville, TN 37203",36.1527599,-86.7854587,"['grocery_or_supermarket', 'food', 'health', 'point_of_interest', 'store', 'establishment']"
29,The Turnip Truck - Gulch,"321 12th Ave S, Nashville, TN 37203",36.1527599,-86.7854587,"['grocery_or_supermarket', 'food', 'health', 'point_of_interest', 'store', 'establishment']"
33,The Turnip Truck - Gulch,"321 12th Ave S, Nashville, TN 37203",36.1527599,-86.7854587,"['grocery_or_supermarket', 'food', 'health', 'point_of_interest', 'store', 'establishment']"
35,The Turnip Truck - Gulch,"321 12th Ave S, Nashville, TN 37203",36.1527599,-86.7854587,"['grocery_or_supermarket', 'food', 'health', 'point_of_interest', 'store', 'establishment']"
37,The Turnip Truck - Gulch,"321 12th Ave S, Nashville, TN 37203",36.1527599,-86.7854587,"['grocery_or_supermarket', 'food', 'health', 'point_of_interest', 'store', 'establishment']"
40,The Turnip Truck - Gulch,"321 12th Ave S, Nashville, TN 37203",36.1527599,-86.7854587,"['grocery_or_supermarket', 'food', 'health', 'point_of_interest', 'store', 'establishment']"
44,The Turnip Truck - Gulch,"321 12th Ave S, Nashville, TN 37203",36.1527599,-86.7854587,"['grocery_or_supermarket', 'food', 'health', 'point_of_interest', 'store', 'establishment']"
