,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PAPTEST_CrudePrev,PAPTEST_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation,zipunpacked
0,TN,Nashville,4752006,47037014400,4752006-47037014400,1250,26.7,"(22.4, 30.8)",27.5,"(26.3, 28.8)",8.9,"( 8.5,  9.3)",43.5,"(42.0, 44.9)",79.8,"(78.8, 80.7)",4.6,"( 4.3,  4.8)",12.6,"(11.8, 13.6)",6.3,"( 5.8,  6.9)",77.1,"(76.1, 77.9)",70.4,"(67.8, 72.7)",53.5,"(49.0, 57.7)",9.0,"( 7.8, 10.4)",28.1,"(23.2, 33.1)",25.3,"(21.1, 29.8)",28.7,"(24.6, 32.6)",40.3,"(36.0, 45.0)",15.2,"(14.2, 16.3)",33.0,"(31.8, 34.3)",3.2,"( 3.0,  3.6)",35.1,"(31.4, 38.9)",78.7,"(75.1, 81.6)",18.5,"(16.5, 20.7)",42.0,"(40.3, 43.7)",79.8,"(76.9, 82.4)",18.6,"(16.7, 20.6)",45.2,"(43.3, 47.0)",4.6,"( 4.1,  5.1)",31.9,"(22.3, 41.2)","36.1576629645, -86.8057331508",37209
1,TN,Nashville,4752006,47037014400,4752006-47037014400,1250,26.7,"(22.4, 30.8)",27.5,"(26.3, 28.8)",8.9,"( 8.5,  9.3)",43.5,"(42.0, 44.9)",79.8,"(78.8, 80.7)",4.6,"( 4.3,  4.8)",12.6,"(11.8, 13.6)",6.3,"( 5.8,  6.9)",77.1,"(76.1, 77.9)",70.4,"(67.8, 72.7)",53.5,"(49.0, 57.7)",9.0,"( 7.8, 10.4)",28.1,"(23.2, 33.1)",25.3,"(21.1, 29.8)",28.7,"(24.6, 32.6)",40.3,"(36.0, 45.0)",15.2,"(14.2, 16.3)",33.0,"(31.8, 34.3)",3.2,"( 3.0,  3.6)",35.1,"(31.4, 38.9)",78.7,"(75.1, 81.6)",18.5,"(16.5, 20.7)",42.0,"(40.3, 43.7)",79.8,"(76.9, 82.4)",18.6,"(16.7, 20.6)",45.2,"(43.3, 47.0)",4.6,"( 4.1,  5.1)",31.9,"(22.3, 41.2)","36.1576629645, -86.8057331508",37203
2,TN,Nashville,4752006,47037019115,4752006-47037019115,3654,7.6,"( 6.2,  9.3)",22.3,"(21.2, 23.5)",14.5,"(13.9, 15.1)",30.9,"(29.6, 32.2)",78.8,"(77.8, 79.8)",6.2,"( 5.9,  6.5)",7.6,"( 7.3,  8.0)",4.8,"( 4.4,  5.2)",76.0,"(75.1, 76.8)",82.2,"(80.2, 84.1)",71.4,"(68.3, 73.9)",4.4,"( 3.8,  5.2)",40.6,"(35.2, 45.4)",44.2,"(39.1, 48.6)",14.4,"(11.8, 17.3)",74.4,"(71.3, 77.2)",7.7,"( 7.1,  8.2)",34.1,"(32.9, 35.4)",2.2,"( 2.1,  2.4)",16.3,"(14.5, 18.4)",83.8,"(81.1, 85.9)",9.3,"( 8.3, 10.4)",24.1,"(22.7, 25.4)",89.5,"(87.7, 90.9)",8.8,"( 7.8,  9.9)",31.2,"(29.7, 32.8)",1.9,"( 1.7,  2.1)",8.6,"( 5.6, 12.4)","36.0133154771, -86.7176062426",37211
3,TN,Nashville,4752006,47037015802,4752006-47037015802,5882,28.0,"(24.5, 31.2)",23.5,"(22.8, 24.3)",13.0,"(12.5, 13.5)",33.9,"(33.0, 34.9)",75.5,"(74.6, 76.4)",4.7,"( 4.5,  4.8)",9.8,"( 9.3, 10.4)",6.4,"( 6.0,  6.9)",70.4,"(69.5, 71.4)",68.4,"(66.3, 70.4)",52.5,"(48.8, 55.5)",8.1,"( 7.3,  8.9)",32.5,"(27.8, 37.2)",29.9,"(25.8, 34.0)",27.0,"(24.1, 30.0)",46.5,"(43.0, 49.8)",11.0,"(10.5, 11.7)",33.8,"(32.8, 34.8)",2.8,"( 2.6,  3.0)",31.2,"(28.9, 33.6)",75.0,"(71.9, 78.0)",16.4,"(15.1, 17.7)",34.0,"(32.9, 35.1)",79.2,"(76.9, 81.3)",16.4,"(15.2, 17.7)",38.8,"(37.6, 40.0)",3.1,"( 2.9,  3.4)",26.7,"(19.8, 34.4)","36.1231320505, -86.7142265091",37210
4,TN,Nashville,4752006,47037015802,4752006-47037015802,5882,28.0,"(24.5, 31.2)",23.5,"(22.8, 24.3)",13.0,"(12.5, 13.5)",33.9,"(33.0, 34.9)",75.5,"(74.6, 76.4)",4.7,"( 4.5,  4.8)",9.8,"( 9.3, 10.4)",6.4,"( 6.0,  6.9)",70.4,"(69.5, 71.4)",68.4,"(66.3, 70.4)",52.5,"(48.8, 55.5)",8.1,"( 7.3,  8.9)",32.5,"(27.8, 37.2)",29.9,"(25.8, 34.0)",27.0,"(24.1, 30.0)",46.5,"(43.0, 49.8)",11.0,"(10.5, 11.7)",33.8,"(32.8, 34.8)",2.8,"( 2.6,  3.0)",31.2,"(28.9, 33.6)",75.0,"(71.9, 78.0)",16.4,"(15.1, 17.7)",34.0,"(32.9, 35.1)",79.2,"(76.9, 81.3)",16.4,"(15.2, 17.7)",38.8,"(37.6, 40.0)",3.1,"( 2.9,  3.4)",26.7,"(19.8, 34.4)","36.1231320505, -86.7142265091",37211
5,TN,Nashville,4752006,47037015802,4752006-47037015802,5882,28.0,"(24.5, 31.2)",23.5,"(22.8, 24.3)",13.0,"(12.5, 13.5)",33.9,"(33.0, 34.9)",75.5,"(74.6, 76.4)",4.7,"( 4.5,  4.8)",9.8,"( 9.3, 10.4)",6.4,"( 6.0,  6.9)",70.4,"(69.5, 71.4)",68.4,"(66.3, 70.4)",52.5,"(48.8, 55.5)",8.1,"( 7.3,  8.9)",32.5,"(27.8, 37.2)",29.9,"(25.8, 34.0)",27.0,"(24.1, 30.0)",46.5,"(43.0, 49.8)",11.0,"(10.5, 11.7)",33.8,"(32.8, 34.8)",2.8,"( 2.6,  3.0)",31.2,"(28.9, 33.6)",75.0,"(71.9, 78.0)",16.4,"(15.1, 17.7)",34.0,"(32.9, 35.1)",79.2,"(76.9, 81.3)",16.4,"(15.2, 17.7)",38.8,"(37.6, 40.0)",3.1,"( 2.9,  3.4)",26.7,"(19.8, 34.4)","36.1231320505, -86.7142265091",37217
6,TN,Nashville,4752006,47037011800,4752006-47037011800,2673,24.3,"(19.4, 29.1)",28.2,"(26.8, 29.7)",9.7,"( 9.2, 10.2)",44.8,"(43.2, 46.3)",81.3,"(80.2, 82.3)",4.9,"( 4.6,  5.1)",12.3,"(11.4, 13.4)",6.9,"( 6.3,  7.6)",77.7,"(76.7, 78.7)",72.7,"(70.1, 75.2)",55.7,"(50.5, 60.7)",8.8,"( 7.5, 10.2)",25.9,"(20.9, 31.4)",26.8,"(22.0, 31.6)",28.1,"(23.9, 32.5)",43.3,"(38.0, 48.5)",15.7,"(14.5, 16.9)",34.1,"(32.8, 35.6)",3.4,"( 3.2,  3.8)",33.4,"(29.7, 37.2)",80.3,"(76.2, 83.6)",17.7,"(15.6, 20.0)",40.7,"(38.8, 42.3)",82.2,"(79.1, 85.1)",18.0,"(15.9, 20.3)",44.7,"(42.6, 46.5)",4.8,"( 4.2,  5.4)",30.7,"(20.6, 41.6)","36.1860223442, -86.7643746828",37213
7,TN,Nashville,4752006,47037011800,4752006-47037011800,2673,24.3,"(19.4, 29.1)",28.2,"(26.8, 29.7)",9.7,"( 9.2, 10.2)",44.8,"(43.2, 46.3)",81.3,"(80.2, 82.3)",4.9,"( 4.6,  5.1)",12.3,"(11.4, 13.4)",6.9,"( 6.3,  7.6)",77.7,"(76.7, 78.7)",72.7,"(70.1, 75.2)",55.7,"(50.5, 60.7)",8.8,"( 7.5, 10.2)",25.9,"(20.9, 31.4)",26.8,"(22.0, 31.6)",28.1,"(23.9, 32.5)",43.3,"(38.0, 48.5)",15.7,"(14.5, 16.9)",34.1,"(32.8, 35.6)",3.4,"( 3.2,  3.8)",33.4,"(29.7, 37.2)",80.3,"(76.2, 83.6)",17.7,"(15.6, 20.0)",40.7,"(38.8, 42.3)",82.2,"(79.1, 85.1)",18.0,"(15.9, 20.3)",44.7,"(42.6, 46.5)",4.8,"( 4.2,  5.4)",30.7,"(20.6, 41.6)","36.1860223442, -86.7643746828",37207
8,TN,Nashville,4752006,47037018804,4752006-47037018804,4868,8.2,"( 6.7, 10.1)",25.6,"(24.2, 27.2)",13.1,"(12.6, 13.7)",33.3,"(31.8, 34.7)",81.1,"(80.1, 82.0)",7.1,"( 6.7,  7.5)",7.8,"( 7.4,  8.4)",5.9,"( 5.3,  6.5)",76.5,"(75.7, 77.3)",83.5,"(81.9, 85.0)",70.3,"(66.9, 73.1)",5.5,"( 4.6,  6.6)",39.9,"(34.0, 45.3)",43.5,"(38.3, 48.2)",15.4,"(12.6, 18.3)",72.6,"(69.0, 75.8)",8.8,"( 8.0,  9.5)",36.8,"(35.5, 38.0)",2.4,"( 2.2,  2.7)",18.2,"(15.9, 20.9)",82.2,"(78.9, 84.9)",9.9,"( 8.7, 11.4)",24.4,"(22.9, 26.0)",87.8,"(85.7, 89.6)",10.2,"( 8.9, 11.8)",30.9,"(29.3, 32.7)",2.3,"( 2.0,  2.6)",9.7,"( 6.0, 15.0)","36.0304702133, -86.7544989419",37211
9,TN,Nashville,4752006,47037012701,4752006-47037012701,5150,25.9,"(21.2, 30.7)",33.3,"(31.7, 34.8)",8.0,"( 7.5,  8.4)",49.9,"(48.1, 51.6)",84.2,"(83.2, 85.2)",5.7,"( 5.4,  6.1)",12.5,"(11.5, 13.7)",8.9,"( 8.0,  9.7)",80.5,"(79.5, 81.5)",76.5,"(73.6, 79.0)",56.1,"(51.6, 60.6)",10.5,"( 8.9, 12.1)",25.2,"(19.9, 30.6)",25.6,"(20.7, 31.0)",28.1,"(23.9, 32.3)",39.7,"(34.9, 44.6)",20.1,"(18.4, 21.5)",36.9,"(35.3, 38.5)",3.9,"( 3.5,  4.2)",37.5,"(33.7, 41.7)",79.5,"(75.5, 83.0)",17.8,"(15.5, 20.1)",44.0,"(42.1, 45.9)",80.0,"(76.3, 83.2)",20.4,"(18.0, 22.8)",46.0,"(43.8, 48.0)",6.2,"( 5.4,  6.9)",32.9,"(23.2, 43.5)","36.2212110254, -86.7946381366",37218
