,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,population_count,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PAPTEST_CrudePrev,PAPTEST_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation
22409,TN,Nashville,4752006,47037010103,4752006-47037010103,2377,10.8,"( 9.0, 12.6)",31.9,"(30.6, 33.2)",12.1,"(11.7, 12.5)",37.8,"(36.6, 39.1)",81.4,"(80.5, 82.2)",8.1,"( 7.8,  8.4)",9.2,"( 8.8,  9.7)",7.7,"( 7.0,  8.3)",73.2,"(72.4, 73.9)",83.5,"(82.0, 84.8)",67.8,"(64.6, 70.8)",8.6,"( 7.6,  9.7)",39.8,"(34.1, 44.6)",41.4,"(36.7, 46.1)",20.3,"(17.8, 22.9)",68,"(64.4, 71.5)",11.2,"(10.4, 12.0)",42.4,"(41.4, 43.6)",2.7,"( 2.6,  2.8)",28.1,"(25.9, 30.5)",79.9,"(77.2, 82.4)",13.1,"(12.0, 14.4)",30.5,"(29.3, 31.8)",86.5,"(84.2, 88.3)",14.4,"(13.1, 15.9)",31.6,"(30.1, 33.0)",3.3,"( 2.9,  3.7)",14,"(10.0, 19.1)","36.34795051870, -86.8675409005"
22410,TN,Nashville,4752006,47037010104,4752006-47037010104,3070,11,"( 9.5, 12.8)",31.4,"(30.0, 32.8)",12,"(11.6, 12.4)",37.8,"(36.5, 39.1)",81.4,"(80.6, 82.2)",7.9,"( 7.6,  8.2)",9.3,"( 8.9,  9.8)",7.5,"( 6.9,  8.2)",73.3,"(72.5, 74.0)",82.6,"(81.2, 84.0)",64.9,"(61.5, 67.9)",8.4,"( 7.4,  9.6)",37.1,"(32.1, 42.2)",38.8,"(34.3, 43.4)",20.5,"(17.6, 23.2)",63.3,"(59.7, 66.8)",11.3,"(10.4, 12.1)",42.1,"(41.0, 43.2)",2.7,"( 2.6,  2.8)",28.5,"(25.9, 31.1)",78.9,"(75.7, 81.7)",13.2,"(11.9, 14.5)",30.8,"(29.5, 32.0)",84.8,"(82.4, 86.9)",14.3,"(12.8, 15.8)",33.1,"(31.6, 34.5)",3.3,"( 2.9,  3.6)",16.8,"(12.3, 21.7)","36.29624214450, -86.8843736030"
22411,TN,Nashville,4752006,47037010105,4752006-47037010105,4268,13.9,"(11.6, 16.6)",31.8,"(30.3, 33.5)",9.2,"( 8.8,  9.5)",47.6,"(46.1, 49.0)",84.6,"(83.8, 85.3)",6.8,"( 6.5,  7.1)",10.8,"(10.2, 11.5)",7.4,"( 6.7,  8.2)",80.1,"(79.4, 80.8)",82.4,"(80.7, 84.1)",66.6,"(62.8, 69.9)",7.4,"( 6.3,  8.6)",29.5,"(24.4, 34.6)",33.4,"(28.3, 38.4)",19.7,"(16.8, 22.6)",55.5,"(50.9, 59.8)",17.1,"(15.7, 18.6)",40.8,"(39.5, 42.1)",3.4,"( 3.2,  3.5)",31.2,"(28.4, 34.2)",83.2,"(80.4, 85.6)",12.9,"(11.6, 14.4)",38.6,"(37.0, 40.1)",86.5,"(83.9, 88.6)",14.7,"(13.0, 16.6)",40.7,"(38.9, 42.4)",4.5,"( 3.9,  5.2)",20.7,"(14.0, 28.7)","36.24886606420, -86.8538782901"
22412,TN,Nashville,4752006,47037010106,4752006-47037010106,2668,20.3,"(18.1, 22.7)",29.9,"(29.0, 30.8)",9.4,"( 9.1,  9.7)",44.3,"(43.3, 45.3)",79.9,"(79.2, 80.5)",5.7,"( 5.5,  5.8)",11.8,"(11.3, 12.4)",7.4,"( 7.0,  7.8)",75.8,"(75.2, 76.4)",75.4,"(73.8, 76.9)",60,"(57.4, 62.4)",9.2,"( 8.4,  9.9)",31.7,"(28.4, 35.0)",32.1,"(28.9, 35.2)",27.2,"(24.9, 29.8)",50.5,"(47.6, 53.4)",15.7,"(15.0, 16.5)",38.7,"(37.8, 39.6)",3.4,"( 3.3,  3.5)",36.5,"(34.5, 38.7)",80.5,"(78.4, 82.3)",17,"(15.8, 18.3)",41.7,"(40.6, 42.7)",85.4,"(83.9, 86.7)",17.9,"(16.7, 19.2)",42.6,"(41.4, 43.7)",4.7,"( 4.4,  5.1)",23.3,"(18.6, 28.2)","36.25370835670, -86.8036071070"
22413,TN,Nashville,4752006,47037010201,4752006-47037010201,4041,13.4,"(12.1, 14.7)",28.3,"(27.5, 29.0)",11.4,"(11.1, 11.6)",38.8,"(38.0, 39.5)",80.5,"(80.0, 81.0)",6.7,"( 6.5,  6.9)",9.8,"( 9.6, 10.1)",6.6,"( 6.2,  6.9)",75.3,"(74.9, 75.7)",80.5,"(79.5, 81.3)",65.7,"(63.5, 67.7)",7.1,"( 6.5,  7.7)",36.4,"(33.3, 39.8)",38.7,"(35.2, 41.9)",19.7,"(18.1, 21.1)",60.8,"(58.5, 63.0)",12.1,"(11.5, 12.6)",38.7,"(38.1, 39.3)",2.8,"( 2.7,  2.8)",28.7,"(27.3, 30.1)",80.4,"(78.6, 82.1)",13,"(12.3, 13.7)",33.9,"(33.1, 34.7)",86.4,"(85.3, 87.6)",13.5,"(12.7, 14.3)",36.7,"(35.8, 37.6)",3.3,"( 3.1,  3.5)",16.9,"(13.3, 20.8)","36.28825140840, -86.7728204615"
22414,TN,Nashville,4752006,47037010202,4752006-47037010202,3482,10.9,"( 8.9, 13.2)",32,"(30.3, 33.8)",12.1,"(11.5, 12.6)",38.2,"(36.5, 39.7)",81.7,"(80.7, 82.7)",8.1,"( 7.7,  8.6)",9.3,"( 8.7,  9.9)",7.7,"( 6.9,  8.6)",73.5,"(72.5, 74.5)",83.3,"(81.7, 84.9)",64.3,"(60.1, 68.1)",8.6,"( 7.3, 10.0)",36.7,"(30.5, 43.2)",38.9,"(33.0, 44.5)",20.3,"(17.2, 23.7)",62.1,"(57.5, 66.5)",11.3,"(10.3, 12.4)",42.8,"(41.5, 44.2)",2.6,"( 2.5,  2.8)",28.3,"(25.5, 31.4)",78,"(74.0, 81.4)",13.1,"(11.7, 14.7)",30.4,"(28.8, 31.8)",83.9,"(80.9, 86.8)",14.3,"(12.7, 16.3)",33.3,"(31.6, 34.9)",3.2,"( 2.8,  3.7)",17.7,"(11.9, 24.5)","36.34497196200, -86.7677653742"
22415,TN,Nashville,4752006,47037010401,4752006-47037010401,4494,23.3,"(20.5, 26.0)",28.4,"(27.3, 29.5)",11.2,"(10.8, 11.7)",37.1,"(36.0, 38.2)",77.1,"(76.2, 77.9)",6.1,"( 5.9,  6.4)",11,"(10.3, 11.7)",7.5,"( 6.8,  8.3)",70.7,"(69.9, 71.5)",71.7,"(69.7, 73.7)",58.1,"(54.1, 61.6)",9.6,"( 8.4, 10.8)",34.3,"(28.2, 40.3)",33.1,"(27.4, 38.4)",26.4,"(23.8, 28.8)",49.7,"(46.3, 53.2)",12.5,"(11.6, 13.3)",39.6,"(38.4, 40.9)",2.9,"( 2.7,  3.0)",35.2,"(32.8, 37.4)",75.6,"(71.6, 79.2)",17.2,"(15.8, 18.6)",35.3,"(34.2, 36.4)",81.6,"(79.2, 83.9)",17.5,"(15.9, 19.0)",38,"(36.8, 39.2)",3.9,"( 3.4,  4.4)",25.2,"(17.5, 33.1)","36.29471538310, -86.6911187036"
22416,TN,Nashville,4752006,47037010402,4752006-47037010402,5588,30.6,"(27.9, 33.3)",30,"(29.1, 30.8)",9.8,"( 9.4, 10.3)",40.4,"(39.4, 41.3)",76,"(75.2, 76.8)",5.1,"( 4.9,  5.3)",12.2,"(11.6, 12.8)",8.6,"( 8.0,  9.2)",68.7,"(67.8, 69.5)",65.6,"(63.7, 67.3)",48.1,"(44.5, 51.6)",12.8,"(11.7, 13.8)",29.5,"(24.3, 35.5)",27,"(22.6, 31.3)",34.8,"(32.3, 37.0)",37.7,"(35.1, 40.7)",15.4,"(14.8, 16.2)",41.6,"(40.4, 42.6)",3.6,"( 3.4,  3.7)",42.6,"(40.6, 44.4)",72.1,"(68.3, 75.6)",21.7,"(20.3, 23.0)",42.4,"(41.4, 43.3)",75,"(72.6, 77.5)",22.9,"(21.5, 24.3)",41.9,"(40.8, 42.9)",5,"( 4.6,  5.4)",34,"(26.2, 42.2)","36.26811952380, -86.6959751266"
22417,TN,Nashville,4752006,47037010501,4752006-47037010501,5029,15.3,"(12.4, 18.4)",30.6,"(29.1, 32.1)",11.9,"(11.3, 12.4)",36.6,"(34.9, 38.2)",78.8,"(77.7, 79.9)",7.1,"( 6.7,  7.4)",10.3,"( 9.6, 11.1)",7.5,"( 6.7,  8.4)",70.6,"(69.5, 71.6)",77.7,"(75.4, 80.0)",58.3,"(53.2, 63.2)",9.8,"( 8.3, 11.3)",35.1,"(27.7, 42.0)",33.9,"(27.7, 40.0)",24.7,"(21.0, 28.5)",54.6,"(49.8, 59.4)",11.4,"(10.5, 12.4)",40.8,"(39.3, 42.3)",2.9,"( 2.7,  3.0)",31.5,"(28.4, 34.4)",75.3,"(70.2, 79.6)",15.9,"(14.0, 17.6)",33.1,"(31.4, 34.6)",80.9,"(77.3, 84.1)",16.6,"(14.6, 18.6)",35.3,"(33.4, 36.9)",3.6,"( 3.2,  4.1)",22.1,"(13.8, 31.2)","36.27293622250, -86.6610202749"
22418,TN,Nashville,4752006,47037010502,4752006-47037010502,2404,13.4,"(11.3, 15.7)",25.9,"(24.7, 27.2)",13,"(12.5, 13.6)",33.5,"(32.1, 34.7)",77,"(76.0, 78.1)",5.8,"( 5.6,  6.1)",9.7,"( 9.3, 10.3)",5.5,"( 5.1,  6.0)",71,"(70.1, 72.0)",78.5,"(76.5, 80.3)",62.5,"(58.6, 66.2)",7.1,"( 6.1,  8.1)",35.9,"(30.4, 41.2)",36.9,"(32.3, 41.6)",21.9,"(18.9, 25.2)",60.7,"(56.7, 64.6)",10.1,"( 9.4, 10.9)",37.1,"(36.0, 38.2)",2.4,"( 2.3,  2.5)",28.4,"(25.9, 31.2)",79.5,"(76.1, 82.5)",14.1,"(12.7, 15.7)",32.5,"(31.1, 33.9)",85.2,"(82.8, 87.4)",13.5,"(12.2, 15.1)",35.9,"(34.3, 37.4)",2.8,"( 2.5,  3.0)",17.2,"(12.7, 23.5)","36.22872559040, -86.6339493996"
