,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PAPTEST_CrudePrev,PAPTEST_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation
22409,TN,Nashville,4752006,47037010103,4752006-47037010103,2377,14,"(11.8, 16.5)",31,"(29.7, 32.3)",14.6,"(14.1, 15.1)",38.4,"(37.1, 39.6)",79.4,"(78.5, 80.2)",8.3,"( 8.0,  8.8)",9.7,"( 9.2, 10.3)",7.7,"( 7.0,  8.4)",73.5,"(72.8, 74.2)",84.7,"(83.4, 85.8)",68,"(65.0, 70.7)",9.4,"( 8.2, 10.6)",34.3,"(28.4, 39.8)",38.5,"(33.9, 43.6)",20.3,"(17.5, 23.0)",68.3,"(65.1, 71.4)",11.8,"(10.9, 12.6)",38.9,"(37.9, 39.8)",3.2,"( 3.0,  3.4)",28.1,"(25.5, 30.5)",77.5,"(74.4, 80.2)",13.1,"(11.9, 14.4)",29.6,"(28.4, 30.8)",83.2,"(80.9, 85.4)",14.2,"(12.7, 15.6)",36.2,"(34.8, 37.6)",3.5,"( 3.1,  3.9)",13.2,"( 9.3, 18.2)","36.34795051870, -86.8675409005"
22410,TN,Nashville,4752006,47037010104,4752006-47037010104,3070,15.6,"(13.4, 18.0)",31.6,"(30.1, 32.9)",13.8,"(13.3, 14.3)",39.8,"(38.4, 41.1)",79.8,"(79.0, 80.6)",8.1,"( 7.8,  8.5)",10.1,"( 9.6, 10.8)",8.2,"( 7.5,  9.0)",73.4,"(72.6, 74.1)",83.3,"(82.1, 84.5)",66.3,"(63.1, 69.5)",10.3,"( 9.0, 11.9)",32.2,"(27.1, 37.5)",37,"(32.4, 41.5)",22.1,"(19.2, 25.1)",65.7,"(62.1, 69.5)",12.8,"(11.8, 13.7)",39.3,"(38.4, 40.2)",3.4,"( 3.2,  3.6)",30.4,"(27.7, 33.1)",77.8,"(74.6, 80.6)",14.3,"(13.0, 15.7)",31.2,"(29.8, 32.4)",82.8,"(80.2, 85.2)",15.5,"(13.8, 17.2)",37.1,"(35.6, 38.5)",3.9,"( 3.5,  4.3)",14.9,"(10.6, 19.7)","36.29624214450, -86.8843736030"
22411,TN,Nashville,4752006,47037010105,4752006-47037010105,4268,16.5,"(13.7, 19.5)",30.5,"(29.0, 32.0)",11.5,"(11.1, 11.9)",47.4,"(46.1, 48.8)",82.7,"(82.0, 83.5)",7.1,"( 6.9,  7.3)",11.4,"(10.7, 12.1)",7,"( 6.3,  7.7)",80.9,"(80.4, 81.4)",87,"(85.9, 88.0)",69.9,"(66.6, 73.1)",7.9,"( 6.7,  9.2)",26.3,"(21.2, 31.9)",33.7,"(28.5, 39.1)",18.4,"(15.7, 21.1)",63.3,"(59.2, 67.1)",16.7,"(15.3, 18.0)",36.4,"(35.5, 37.4)",3.7,"( 3.5,  4.0)",30.1,"(27.4, 32.9)",83.5,"(80.8, 85.9)",12.4,"(11.1, 13.7)",36.7,"(35.1, 38.1)",86.2,"(84.3, 88.3)",13.6,"(12.1, 15.3)",43.1,"(41.4, 44.7)",4.5,"( 3.9,  5.1)",15.1,"(10.1, 21.1)","36.24886606420, -86.8538782901"
22412,TN,Nashville,4752006,47037010106,4752006-47037010106,2668,19.5,"(17.3, 22.0)",26.9,"(26.1, 27.8)",12.4,"(12.1, 12.7)",42.7,"(41.7, 43.7)",77.6,"(77.0, 78.3)",5.9,"( 5.8,  6.0)",11.7,"(11.2, 12.2)",6.3,"( 5.9,  6.7)",77.4,"(77.0, 77.9)",82.9,"(81.7, 83.9)",60.6,"(57.9, 63.0)",8.1,"( 7.3,  8.8)",25.6,"(22.4, 28.8)",29.3,"(26.2, 32.6)",22.6,"(20.3, 24.8)",53.1,"(50.0, 56.1)",14.1,"(13.5, 14.8)",32.9,"(32.3, 33.5)",3.5,"( 3.3,  3.7)",32.6,"(30.6, 34.7)",81.7,"(79.8, 83.5)",14.8,"(13.7, 15.9)",38.2,"(37.1, 39.3)",86.3,"(85.0, 87.5)",14.4,"(13.4, 15.5)",45.9,"(44.8, 47.0)",4.1,"( 3.8,  4.4)",22,"(17.5, 27.1)","36.25370835670, -86.8036071070"
22413,TN,Nashville,4752006,47037010201,4752006-47037010201,4041,16.1,"(14.7, 17.7)",27.2,"(26.5, 28.0)",14,"(13.7, 14.3)",39,"(38.2, 39.8)",78.3,"(77.7, 78.8)",6.9,"( 6.8,  7.1)",10.3,"(10.0, 10.7)",6.3,"( 5.9,  6.7)",75.9,"(75.5, 76.3)",84.3,"(83.6, 84.9)",68.4,"(66.3, 70.2)",7.5,"( 6.9,  8.2)",32.6,"(29.2, 36.0)",38.1,"(34.8, 41.4)",18.7,"(17.2, 20.3)",66.7,"(64.5, 68.5)",12.2,"(11.7, 12.7)",34.6,"(34.1, 35.0)",3.1,"( 3.0,  3.2)",27.8,"(26.4, 29.3)",80,"(78.3, 81.7)",12.7,"(12.0, 13.4)",32.4,"(31.6, 33.2)",85.4,"(84.1, 86.5)",12.7,"(11.9, 13.6)",39.7,"(38.8, 40.6)",3.4,"( 3.2,  3.6)",12.9,"(10.0, 16.4)","36.28825140840, -86.7728204615"
22414,TN,Nashville,4752006,47037010202,4752006-47037010202,3482,12.8,"(10.3, 15.6)",30.4,"(28.8, 32.0)",15,"(14.3, 15.6)",37.6,"(36.0, 39.1)",79.5,"(78.4, 80.5)",8.5,"( 8.2,  9.2)",9.5,"( 8.9, 10.2)",7.2,"( 6.4,  8.0)",74.1,"(73.2, 75.0)",85.6,"(84.3, 86.9)",68.4,"(64.3, 72.1)",8.6,"( 7.2, 10.1)",33.8,"(26.6, 40.9)",39.4,"(33.4, 45.4)",18.5,"(15.6, 21.6)",68.7,"(64.4, 73.0)",11.3,"(10.3, 12.2)",38.5,"(37.4, 39.6)",3,"( 2.8,  3.2)",26.2,"(23.4, 28.9)",77.4,"(73.6, 81.0)",12.3,"(10.9, 13.7)",28.5,"(26.9, 30.0)",82.8,"(79.6, 85.7)",13.1,"(11.6, 14.8)",36.2,"(34.3, 37.9)",3.2,"( 2.9,  3.7)",12.9,"( 8.3, 18.6)","36.34497196200, -86.7677653742"
22415,TN,Nashville,4752006,47037010401,4752006-47037010401,4494,25.3,"(22.2, 28.4)",27.6,"(26.5, 28.7)",13.3,"(12.8, 13.8)",38.2,"(37.1, 39.3)",75.4,"(74.6, 76.2)",6.4,"( 6.2,  6.7)",11.4,"(10.7, 12.0)",7.8,"( 7.1,  8.6)",71.8,"(71.1, 72.6)",77.4,"(75.9, 79.0)",58.9,"(55.0, 62.6)",10.4,"( 9.1, 11.9)",27.1,"(21.5, 33.5)",30.2,"(25.2, 35.8)",25.6,"(22.9, 28.4)",50.7,"(47.2, 54.0)",13.3,"(12.4, 14.1)",35,"(34.2, 35.9)",3.7,"( 3.4,  3.9)",35.4,"(32.8, 37.9)",76.7,"(73.1, 79.9)",17.3,"(15.9, 18.7)",34.9,"(33.8, 35.9)",82.7,"(80.4, 84.9)",17,"(15.4, 18.6)",42.1,"(41.0, 43.2)",4.1,"( 3.7,  4.6)",25.1,"(16.8, 33.3)","36.29471538310, -86.6911187036"
22416,TN,Nashville,4752006,47037010402,4752006-47037010402,5588,28.8,"(26.1, 31.3)",27.4,"(26.5, 28.3)",12.5,"(12.0, 13.0)",40.2,"(39.3, 41.1)",74.3,"(73.5, 75.1)",5.3,"( 5.1,  5.4)",12,"(11.4, 12.6)",8,"( 7.5,  8.6)",70.8,"(70.1, 71.5)",74.2,"(72.8, 75.6)",50.4,"(46.9, 53.7)",11.9,"(10.8, 13.0)",21.9,"(17.1, 27.2)",24.8,"(20.8, 29.3)",31.3,"(28.8, 33.7)",39,"(36.3, 41.8)",15,"(14.3, 15.7)",35.2,"(34.5, 36.0)",3.9,"( 3.8,  4.1)",41.1,"(39.0, 43.1)",77.7,"(74.8, 80.3)",20.5,"(19.3, 21.8)",40.5,"(39.5, 41.5)",82.5,"(80.9, 84.2)",19.6,"(18.3, 20.9)",45.7,"(44.6, 46.7)",4.6,"( 4.2,  4.9)",34.2,"(26.8, 41.5)","36.26811952380, -86.6959751266"
22417,TN,Nashville,4752006,47037010501,4752006-47037010501,5029,16.4,"(13.4, 19.9)",28.6,"(27.1, 30.1)",15,"(14.4, 15.7)",36,"(34.5, 37.3)",76.6,"(75.5, 77.7)",7.3,"( 7.0,  7.6)",10.4,"( 9.7, 11.1)",7,"( 6.3,  7.8)",71.5,"(70.6, 72.5)",81.3,"(79.5, 82.9)",64.2,"(59.4, 68.5)",9.4,"( 8.0, 10.9)",31.2,"(24.6, 38.2)",34.6,"(28.4, 40.8)",22.6,"(19.1, 25.9)",62.1,"(57.5, 66.3)",11.1,"(10.2, 12.0)",35.9,"(34.9, 37.0)",3.2,"( 2.9,  3.4)",29.5,"(26.5, 32.3)",77.5,"(73.4, 81.1)",14.8,"(13.2, 16.4)",31,"(29.5, 32.4)",83.5,"(80.8, 86.1)",14.7,"(13.0, 16.3)",38.4,"(36.6, 40.1)",3.4,"( 3.0,  3.9)",16.7,"( 9.9, 24.9)","36.27293622250, -86.6610202749"
22418,TN,Nashville,4752006,47037010502,4752006-47037010502,2404,17.2,"(14.2, 20.1)",25.8,"(24.4, 27.1)",15.2,"(14.5, 15.8)",34.9,"(33.6, 36.2)",75,"(74.0, 76.1)",6,"( 5.7,  6.2)",10.5,"( 9.9, 11.3)",5.9,"( 5.3,  6.5)",71.2,"(70.4, 72.1)",80.7,"(79.0, 82.4)",63.5,"(59.3, 67.4)",8.3,"( 7.0,  9.7)",30.6,"(24.9, 36.5)",34.9,"(30.1, 39.7)",22.5,"(19.0, 25.9)",62.7,"(58.8, 66.6)",11.1,"(10.4, 11.9)",33.9,"(32.9, 34.9)",2.9,"( 2.8,  3.1)",29.3,"(26.6, 32.1)",79.2,"(75.5, 82.2)",14.9,"(13.3, 16.6)",32.3,"(30.8, 33.6)",84.2,"(81.8, 86.6)",14,"(12.5, 15.7)",39.9,"(38.3, 41.4)",3.2,"( 2.9,  3.5)",15.3,"(10.3, 21.0)","36.22872559040, -86.6339493996"
