,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PAPTEST_CrudePrev,PAPTEST_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation
106,TN,Nashville,4752006,47037018405,4752006-47037018405,4760,7.6,"( 6.1,  9.4)",25.3,"(23.9, 26.9)",18.3,"(17.6, 19.0)",29.8,"(28.2, 31.5)",77.7,"(76.4, 79.0)",6.7,"( 6.4,  7.0)",8.9,"( 8.4,  9.5)",4.9,"( 4.4,  5.5)",69.8,"(68.9, 70.8)",85.4,"(83.8, 86.6)",72.2,"(68.7, 75.1)",5.5,"( 4.6,  6.5)",38,"(31.4, 45.0)",43.4,"(37.7, 48.8)",15.9,"(12.8, 19.2)",77.1,"(73.9, 79.9)",7.7,"( 7.0,  8.4)",36.3,"(35.0, 37.7)",2.2,"( 2.0,  2.3)",17.9,"(15.5, 20.5)",80.3,"(76.8, 83.2)",10.2,"( 9.0, 11.6)",26.3,"(24.8, 28.0)",85.9,"(83.5, 88.0)",10,"( 8.7, 11.4)",34.7,"(32.9, 36.6)",2.1,"( 1.8,  2.4)",7.3,"( 4.3, 11.3)",POINT (-86.9407121165 36.0521853395)
281,TN,Nashville,4752006,47037010103,4752006-47037010103,2377,11.1,"( 9.3, 13.3)",32.6,"(31.2, 33.9)",16,"(15.6, 16.6)",37.8,"(36.6, 39.1)",81.4,"(80.5, 82.2)",8,"( 7.7,  8.4)",9.8,"( 9.2, 10.4)",7.8,"( 7.1,  8.4)",70.6,"(69.8, 71.4)",83.5,"(82.0, 84.8)",68,"(65.0, 70.7)",8.9,"( 7.8, 10.0)",34.3,"(28.4, 39.8)",38.5,"(33.9, 43.6)",21.7,"(18.9, 24.6)",68.3,"(65.1, 71.4)",10.8,"(10.0, 11.6)",42.4,"(41.4, 43.6)",2.9,"( 2.8,  3.1)",25.2,"(22.6, 27.8)",77.5,"(74.4, 80.2)",12.6,"(11.4, 13.7)",29.6,"(28.3, 30.9)",83.2,"(80.9, 85.4)",14.3,"(12.8, 15.7)",36.2,"(34.8, 37.6)",3.3,"( 3.0,  3.7)",13.2,"( 9.3, 18.2)",POINT (-86.8675409005 36.3479505187)
297,TN,Nashville,4752006,47037010105,4752006-47037010105,4268,13.5,"(11.0, 16.0)",32,"(30.5, 33.6)",12.4,"(12.0, 12.8)",47.6,"(46.1, 49.0)",84.6,"(83.8, 85.3)",6.7,"( 6.4,  7.0)",11.2,"(10.5, 12.1)",7,"( 6.3,  7.8)",78.4,"(77.7, 79.0)",82.4,"(80.7, 84.1)",69.9,"(66.6, 73.1)",7.6,"( 6.5,  8.9)",26.3,"(21.2, 31.9)",33.7,"(28.5, 39.1)",19.8,"(17.1, 22.8)",63.3,"(59.2, 67.1)",15.9,"(14.7, 17.3)",40.8,"(39.5, 42.1)",3.4,"( 3.2,  3.7)",28.3,"(25.3, 31.6)",83.5,"(80.8, 85.9)",11.9,"(10.7, 13.3)",37.5,"(35.9, 39.0)",86.2,"(84.3, 88.3)",13.9,"(12.4, 15.8)",43.1,"(41.4, 44.7)",4.3,"( 3.8,  4.9)",15.1,"(10.1, 21.1)",POINT (-86.8538782901 36.2488660642)
589,TN,Nashville,4752006,47037019004,4752006-47037019004,4407,29.9,"(26.3, 33.2)",25.6,"(24.7, 26.5)",14.1,"(13.6, 14.7)",34,"(33.1, 34.9)",72.4,"(71.4, 73.4)",4.4,"( 4.3,  4.6)",11.3,"(10.6, 12.0)",6.9,"( 6.4,  7.4)",63.7,"(62.7, 64.7)",64.3,"(62.2, 66.3)",51.4,"(47.7, 55.2)",9.9,"( 9.0, 11.0)",23.1,"(18.5, 28.3)",27.6,"(23.0, 32.9)",30.5,"(27.5, 33.4)",43.1,"(39.5, 46.8)",12.4,"(11.8, 13.0)",38,"(36.9, 39.1)",3.4,"( 3.2,  3.6)",38.4,"(35.5, 41.1)",76.2,"(72.6, 79.6)",18.5,"(17.1, 20.0)",37,"(35.8, 38.0)",81.2,"(79.5, 83.2)",18.5,"(17.1, 20.0)",43.8,"(42.6, 45.0)",4,"( 3.7,  4.3)",30.3,"(22.1, 38.6)",POINT (-86.7140695527 36.069945042)
862,TN,Nashville,4752006,47037015615,4752006-47037015615,4775,25.7,"(22.5, 28.8)",24,"(23.1, 24.9)",14.7,"(14.2, 15.3)",34,"(33.0, 35.0)",72.9,"(71.9, 74.0)",4.1,"( 4.0,  4.3)",11.1,"(10.4, 11.7)",5.6,"( 5.2,  6.0)",65.7,"(64.7, 66.6)",68.1,"(65.8, 70.3)",55.6,"(52.1, 59.0)",8.2,"( 7.4,  9.1)",24.4,"(19.7, 29.2)",28.8,"(24.6, 33.5)",27.5,"(24.7, 30.1)",49.1,"(45.8, 53.0)",11.6,"(11.0, 12.2)",36.4,"(35.3, 37.5)",3,"( 2.8,  3.1)",34.3,"(31.7, 36.8)",78.8,"(76.0, 81.1)",16.8,"(15.4, 18.1)",37.2,"(36.0, 38.3)",83.4,"(81.6, 85.1)",16.3,"(15.0, 17.6)",43.7,"(42.4, 44.9)",3.3,"( 3.1,  3.6)",23.2,"(16.7, 29.7)",POINT (-86.6732926633 36.073922218)
905,TN,Nashville,4752006,47037018905,4752006-47037018905,2898,16.3,"(13.2, 20.0)",17,"(16.1, 18.0)",20,"(19.2, 20.8)",23.2,"(22.2, 24.1)",66.2,"(64.7, 67.6)",3.7,"( 3.6,  3.9)",9.5,"( 8.8, 10.3)",3.4,"( 3.1,  3.8)",63.2,"(62.1, 64.3)",70,"(67.2, 72.5)",64.8,"(60.6, 68.8)",4.9,"( 4.1,  5.7)",33.2,"(26.6, 40.5)",37.4,"(31.3, 43.2)",20,"(16.2, 24.0)",64.8,"(60.1, 69.5)",6.1,"( 5.6,  6.5)",28.9,"(27.8, 30.0)",1.9,"( 1.7,  2.0)",21.6,"(18.8, 24.5)",79.7,"(75.8, 82.8)",13,"(11.3, 14.8)",27.6,"(26.2, 29.1)",84.6,"(81.8, 87.0)",10,"( 8.8, 11.3)",37.8,"(36.0, 39.5)",1.7,"( 1.5,  1.9)",12.9,"( 7.1, 20.0)",POINT (-86.7364092465 36.0593607088)
1269,TN,Nashville,4752006,47037015300,4752006-47037015300,5804,9.8,"( 8.2, 11.7)",28.7,"(27.3, 30.3)",16.5,"(15.9, 17.1)",34.1,"(32.6, 35.6)",80.4,"(79.4, 81.3)",8,"( 7.6,  8.5)",9,"( 8.5,  9.5)",6.5,"( 5.7,  7.3)",71.5,"(70.6, 72.3)",84,"(82.3, 85.4)",71.4,"(68.1, 74.6)",6.5,"( 5.5,  7.7)",36.7,"(29.8, 43.5)",40.4,"(34.4, 46.4)",16.6,"(14.0, 19.5)",73.5,"(70.1, 76.6)",8.9,"( 8.1,  9.8)",38.3,"(37.1, 39.5)",2.7,"( 2.5,  2.9)",21.1,"(18.5, 23.7)",78.9,"(75.6, 81.9)",10.5,"( 9.4, 11.6)",26.9,"(25.4, 28.3)",85.8,"(83.6, 88.0)",11.2,"( 9.9, 12.6)",34.8,"(33.2, 36.4)",2.8,"( 2.4,  3.2)",9.6,"( 5.7, 14.7)",POINT (-86.6882030885 36.2104122971)
1311,TN,Nashville,4752006,47037019003,4752006-47037019003,5032,30.5,"(25.7, 35.9)",20.6,"(19.8, 21.4)",15.6,"(14.8, 16.4)",30.7,"(29.6, 31.8)",68.5,"(67.2, 69.9)",3.6,"( 3.5,  3.8)",10.2,"( 9.5, 10.9)",5.2,"( 4.8,  5.6)",62.1,"(60.9, 63.4)",61,"(58.0, 64.2)",54.6,"(50.8, 58.3)",7.4,"( 6.6,  8.3)",25.1,"(19.9, 30.7)",29.4,"(24.3, 34.7)",26.1,"(22.9, 29.4)",46.8,"(42.3, 51.4)",10.1,"( 9.5, 10.7)",35.4,"(34.0, 36.8)",2.8,"( 2.6,  3.0)",34.5,"(31.0, 37.7)",77.3,"(73.9, 80.7)",16.6,"(15.1, 18.3)",35.6,"(34.1, 37.1)",83.1,"(81.0, 85.2)",15.5,"(13.9, 16.9)",42,"(40.4, 43.5)",2.9,"( 2.6,  3.2)",25.3,"(17.7, 33.8)",POINT (-86.7054436498 36.0769982456)
1725,TN,Nashville,4752006,47037019115,4752006-47037019115,3654,8,"( 6.4,  9.9)",23.2,"(22.1, 24.6)",17.8,"(17.1, 18.4)",28.4,"(27.3, 29.7)",76.9,"(75.9, 78.0)",6,"( 5.7,  6.2)",8.8,"( 8.4,  9.5)",4.4,"( 4.0,  4.9)",69.5,"(68.6, 70.4)",84.9,"(83.6, 86.1)",71.7,"(68.2, 74.5)",4.9,"( 4.1,  5.9)",36.9,"(30.6, 42.8)",42.2,"(36.8, 46.9)",15.1,"(12.4, 18.4)",76.1,"(72.5, 79.0)",7.7,"( 7.1,  8.3)",34.3,"(33.3, 35.2)",2.1,"( 2.0,  2.2)",17.7,"(15.5, 20.1)",81.5,"(78.6, 84.0)",9.9,"( 8.9, 11.2)",26.2,"(25.0, 27.7)",86.3,"(83.9, 88.1)",9.4,"( 8.3, 10.8)",35.3,"(33.8, 36.9)",2,"( 1.8,  2.2)",7.2,"( 4.3, 11.2)",POINT (-86.7176062426 36.0133154771)
1916,TN,Nashville,4752006,47037017701,4752006-47037017701,636,6.7,"( 4.9,  8.9)",21.9,"(20.5, 23.4)",19.7,"(18.9, 20.5)",25.6,"(24.2, 27.1)",75.6,"(74.1, 77.0)",6.4,"( 6.0,  6.7)",8.7,"( 8.1,  9.4)",4.2,"( 3.7,  4.8)",68.4,"(67.3, 69.4)",83.7,"(81.3, 85.3)",74.1,"(69.9, 77.1)",4.3,"( 3.5,  5.5)",38.5,"(30.5, 46.3)",42.4,"(35.9, 47.6)",13.3,"(10.0, 17.3)",80,"(76.1, 83.3)",5.9,"( 5.3,  6.6)",32.7,"(31.5, 34.0)",1.9,"( 1.7,  2.1)",15.1,"(12.7, 17.8)",81,"(76.9, 83.9)",9.5,"( 8.0, 11.1)",23.1,"(21.4, 24.7)",86.8,"(84.0, 88.7)",8.2,"( 7.0,  9.7)",32.2,"(30.3, 34.2)",1.7,"( 1.5,  2.1)",6.3,"( 3.6, 12.7)",POINT (-86.7878147099 36.0971117892)
