,zipunpacked,variable,value
0,37218,BPHIGH_CrudePrev,47.4
1,37207,BPHIGH_CrudePrev,42.7
2,37218,BPHIGH_CrudePrev,42.7
3,37207,BPHIGH_CrudePrev,39.0
4,37216,BPHIGH_CrudePrev,46.9
5,37216,BPHIGH_CrudePrev,44.8
6,37207,BPHIGH_CrudePrev,38.3
7,37207,BPHIGH_CrudePrev,44.4
8,37207,BPHIGH_CrudePrev,49.0
9,37207,BPHIGH_CrudePrev,42.9
10,37216,BPHIGH_CrudePrev,42.9
11,37216,BPHIGH_CrudePrev,37.2
12,37216,BPHIGH_CrudePrev,34.5
13,37216,BPHIGH_CrudePrev,32.5
14,37207,BPHIGH_CrudePrev,40.2
15,37216,BPHIGH_CrudePrev,38.8
16,37206,BPHIGH_CrudePrev,38.8
17,37206,BPHIGH_CrudePrev,35.8
18,37216,BPHIGH_CrudePrev,35.8
19,37216,BPHIGH_CrudePrev,34.6
20,37206,BPHIGH_CrudePrev,34.6
21,37206,BPHIGH_CrudePrev,30.1
22,37216,BPHIGH_CrudePrev,30.1
23,37207,BPHIGH_CrudePrev,30.1
24,37213,BPHIGH_CrudePrev,43.8
25,37207,BPHIGH_CrudePrev,43.8
26,37206,BPHIGH_CrudePrev,37.8
27,37207,BPHIGH_CrudePrev,37.8
28,37206,BPHIGH_CrudePrev,26.2
29,37206,BPHIGH_CrudePrev,26.9
30,37207,BPHIGH_CrudePrev,43.5
31,37207,BPHIGH_CrudePrev,51.0
32,37218,BPHIGH_CrudePrev,51.0
33,37207,BPHIGH_CrudePrev,49.0
34,37218,BPHIGH_CrudePrev,49.0
35,37218,BPHIGH_CrudePrev,52.5
36,37218,BPHIGH_CrudePrev,47.1
37,37209,BPHIGH_CrudePrev,33.8
38,37218,BPHIGH_CrudePrev,38.5
39,37209,BPHIGH_CrudePrev,36.1
40,37209,BPHIGH_CrudePrev,32.2
41,37209,BPHIGH_CrudePrev,31.9
42,37209,BPHIGH_CrudePrev,23.2
43,37209,BPHIGH_CrudePrev,26.8
44,37208,BPHIGH_CrudePrev,41.5
45,37209,BPHIGH_CrudePrev,41.5
46,37209,BPHIGH_CrudePrev,25.9
47,37208,BPHIGH_CrudePrev,25.9
48,37228,BPHIGH_CrudePrev,49.4
49,37208,BPHIGH_CrudePrev,49.4
50,37208,BPHIGH_CrudePrev,52.2
51,37208,BPHIGH_CrudePrev,53.6
52,37208,BPHIGH_CrudePrev,41.5
53,37203,BPHIGH_CrudePrev,41.5
54,37208,BPHIGH_CrudePrev,49.9
55,37209,BPHIGH_CrudePrev,49.9
56,37209,BPHIGH_CrudePrev,41.4
57,37203,BPHIGH_CrudePrev,41.4
58,37210,BPHIGH_CrudePrev,48.5
59,37214,BPHIGH_CrudePrev,33.4
60,37210,BPHIGH_CrudePrev,35.6
61,37214,BPHIGH_CrudePrev,35.6
62,37214,BPHIGH_CrudePrev,34.5
63,37214,BPHIGH_CrudePrev,30.5
64,37214,BPHIGH_CrudePrev,34.3
65,37217,BPHIGH_CrudePrev,30.1
66,37211,BPHIGH_CrudePrev,33.7
67,37217,BPHIGH_CrudePrev,33.7
68,37217,BPHIGH_CrudePrev,31.3
69,37217,BPHIGH_CrudePrev,34.9
70,37217,BPHIGH_CrudePrev,36.1
71,37217,BPHIGH_CrudePrev,36.5
72,37217,BPHIGH_CrudePrev,34.7
73,37214,BPHIGH_CrudePrev,28.3
74,37217,BPHIGH_CrudePrev,31.8
75,37214,BPHIGH_CrudePrev,31.8
76,37217,BPHIGH_CrudePrev,30.8
77,37217,BPHIGH_CrudePrev,36.9
78,37211,BPHIGH_CrudePrev,36.9
79,37217,BPHIGH_CrudePrev,34.5
80,37210,BPHIGH_CrudePrev,34.5
81,37211,BPHIGH_CrudePrev,34.5
82,37217,BPHIGH_CrudePrev,28.3
83,37217,BPHIGH_CrudePrev,28.9
84,37210,BPHIGH_CrudePrev,42.9
85,37210,BPHIGH_CrudePrev,49.2
86,37203,BPHIGH_CrudePrev,49.2
87,37203,BPHIGH_CrudePrev,37.1
88,37204,BPHIGH_CrudePrev,37.1
89,37210,BPHIGH_CrudePrev,37.1
90,37203,BPHIGH_CrudePrev,44.6
91,37204,BPHIGH_CrudePrev,44.6
92,37203,BPHIGH_CrudePrev,36.5
93,37212,BPHIGH_CrudePrev,36.5
94,37232,BPHIGH_CrudePrev,16.5
95,37212,BPHIGH_CrudePrev,16.5
96,37203,BPHIGH_CrudePrev,16.5
97,37203,BPHIGH_CrudePrev,9.9
98,37232,BPHIGH_CrudePrev,9.9
99,37240,BPHIGH_CrudePrev,9.9
100,37212,BPHIGH_CrudePrev,9.9
101,37212,BPHIGH_CrudePrev,23.7
102,37232,BPHIGH_CrudePrev,23.7
103,37203,BPHIGH_CrudePrev,23.7
104,37215,BPHIGH_CrudePrev,28.2
105,37205,BPHIGH_CrudePrev,28.2
106,37203,BPHIGH_CrudePrev,18.2
107,37212,BPHIGH_CrudePrev,18.2
108,37212,BPHIGH_CrudePrev,23.9
109,37215,BPHIGH_CrudePrev,23.9
110,37204,BPHIGH_CrudePrev,23.9
111,37212,BPHIGH_CrudePrev,20.7
112,37204,BPHIGH_CrudePrev,20.7
113,37203,BPHIGH_CrudePrev,20.7
114,37204,BPHIGH_CrudePrev,27.2
115,37211,BPHIGH_CrudePrev,36.5
116,37204,BPHIGH_CrudePrev,36.5
117,37210,BPHIGH_CrudePrev,36.5
118,37210,BPHIGH_CrudePrev,35.2
119,37211,BPHIGH_CrudePrev,35.2
120,37211,BPHIGH_CrudePrev,34.2
121,37210,BPHIGH_CrudePrev,34.2
122,37211,BPHIGH_CrudePrev,31.1
123,37211,BPHIGH_CrudePrev,35.9
124,37204,BPHIGH_CrudePrev,35.9
125,37204,BPHIGH_CrudePrev,26.3
126,37220,BPHIGH_CrudePrev,26.3
127,37204,BPHIGH_CrudePrev,22.7
128,37220,BPHIGH_CrudePrev,22.7
129,37215,BPHIGH_CrudePrev,22.7
130,37215,BPHIGH_CrudePrev,24.8
131,37212,BPHIGH_CrudePrev,24.8
132,37204,BPHIGH_CrudePrev,24.8
133,37205,BPHIGH_CrudePrev,33.6
134,37215,BPHIGH_CrudePrev,33.6
135,37204,BPHIGH_CrudePrev,34.7
136,37205,BPHIGH_CrudePrev,34.7
137,37215,BPHIGH_CrudePrev,34.7
138,37215,BPHIGH_CrudePrev,30.4
139,37205,BPHIGH_CrudePrev,30.4
140,37209,BPHIGH_CrudePrev,29.5
141,37209,BPHIGH_CrudePrev,37.4
142,37205,BPHIGH_CrudePrev,37.4
143,37209,BPHIGH_CrudePrev,32.3
144,37205,BPHIGH_CrudePrev,32.3
145,37205,BPHIGH_CrudePrev,27.7
146,37209,BPHIGH_CrudePrev,27.7
