,shop_name,shop_address,shop_lat,shop_lng,types
0,CITGO East Nashville,"500 Main St, Nashville, TN 37206",36.1728044,-86.76475320000002,"['gas_station', 'convenience_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
1,Shell,"1001 Shelby Ave, Nashville, TN 37206",36.1715523,-86.7518729,"['gas_station', 'atm', 'convenience_store', 'finance', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
2,EASTSIDE GAS SHOP-N-GO,"726 Mcferrin Ave, Nashville, TN 37206",36.1842375,-86.7550526,"['gas_station', 'point_of_interest', 'establishment']"
3,MAPCO Mart,"712 Main St, Nashville, TN 37206",36.1746163,-86.7599582,"['gas_station', 'convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
4,Marathon,"1101 Woodland St, Nashville, TN 37206",36.1777787,-86.7497868,"['gas_station', 'point_of_interest', 'establishment']"
5,Z-Mart,"927 Gallatin Ave, Nashville, TN 37206",36.1879609,-86.74594069999999,"['convenience_store', 'atm', 'gas_station', 'finance', 'food', 'point_of_interest', 'store', 'establishment']"
6,Kroger Fuel Center,"711 Gallatin Ave, Nashville, TN 37206",36.1853402,-86.747265,"['gas_station', 'point_of_interest', 'establishment']"
7,Gas Station,"766 Douglas Ave, Nashville, TN 37207",36.1930944,-86.7536492,"['gas_station', 'point_of_interest', 'establishment']"
8,Porter Road Gulf,"834 Porter Rd, Nashville, TN 37206",36.1861691,-86.73069509999999,"['gas_station', 'point_of_interest', 'establishment']"
9,Exxon,"227 Shelby Ave, Nashville, TN 37213",36.1662861,-86.76640080000001,"['gas_station', 'point_of_interest', 'establishment']"
10,Express Food Mart,"1101 Woodland St, Nashville, TN 37206",36.177783,-86.74959240000001,"['convenience_store', 'gas_station', 'food', 'point_of_interest', 'store', 'establishment']"
11,A Plus,"227 Shelby Ave, Nashville, TN 37213",36.1665304,-86.76653309999999,"['gas_station', 'point_of_interest', 'establishment']"
12,Speedway,"2600 Gallatin Pike, Nashville, TN 37216",36.1968998,-86.74170389999999,"['gas_station', 'point_of_interest', 'establishment']"
13,Citgo,"2301 Riverside Dr, Nashville, TN 37216",36.20503,-86.7241119,"['gas_station', 'point_of_interest', 'establishment']"
14,Citgo,"701 Dickerson Pike, Nashville, TN 37207",36.1834471,-86.7735567,"['gas_station', 'convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
