,shop_name,shop_address,shop_lat,shop_lng,types
0,Food Lion,"3636 Bell Rd, Nashville, TN 37214",36.1504959,-86.6272429,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
1,Food Lion,"936 Richards Rd, Antioch, TN 37013",36.0680026,-86.6813001,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
2,Publix Super Market at Bellevue Center,"7604 Hwy 70 S, Nashville, TN 37221",36.0784138,-86.9455024,"['supermarket', 'florist', 'bakery', 'grocery_or_supermarket', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']"
3,Food Lion,"314 Frey St, Ashland City, TN 37015",36.2958639,-87.04799829999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
4,Food Lion,"5341 Main St, Spring Hill, TN 37174",35.7449949,-86.94046589999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
5,Food Lion,"11459 Old Nashville Hwy, Smyrna, TN 37167",35.9567709,-86.5195602,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
6,Food Lion,"5021 Trotwood Ave Ste 7, Columbia, TN 38401",35.5880896,-87.09772110000002,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
7,Food Lion,"2304 Madison St, Clarksville, TN 37041",36.50679239999999,-87.2708227,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
8,Food Lion,"471 E Main St, Gallatin, TN 37066",36.3900714,-86.43608449999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
9,Food Lion,"304 S Broadway, Portland, TN 37148",36.5787216,-86.5142494,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
10,Food Lion,"219 Colloredo Blvd, Shelbyville, TN 37160",35.4931018,-86.4683408,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
11,Bordeaux Food,"3205 Clarksville Pike, Nashville, TN 37218",36.193048,-86.83246199999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
12,Food Lion,"1764 State Hwy 48, Clarksville, TN 37040",36.478286,-87.3773119,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
13,Food Lion,"411 W Lincoln St, Tullahoma, TN 37388",35.3573375,-86.21470839999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
14,Food Lion,"719 S Congress Blvd, Smithville, TN 37166",35.9530756,-85.8140212,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
15,Food Lion,"400 Market Square Plaza, Livingston, TN 38570",36.3964666,-85.32153009999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
16,Food Lion,"944 Hillsboro Blvd, Manchester, TN 37355",35.4731239,-86.0797316,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
17,Food Lion,"2917 Old Knoxville Hwy, Maryville, TN 37804",35.8017212,-83.9447576,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
18,Food Lion,"1707 E Lamar Alexander Pkwy, Maryville, TN 37804",35.7565232,-83.9479709,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
19,Food Lion,"1245 E Spring St, Cookeville, TN 38501",36.1530082,-85.4787049,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
20,Food Lion,"377 W Jackson St, Cookeville, TN 38501",36.1568999,-85.5154458,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
21,Sonic Drive-In,"7679 Hwy 70 S, Nashville, TN 37221",36.0785444,-86.9531191,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
