,shop_name,shop_address,shop_lat,shop_lng,types
0,Save A Lot,"2400 Clarksville Pike, Nashville, TN 37208",36.1853833,-86.8159932,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
1,Save A Lot,"1113 Murfreesboro Pike, Nashville, TN 37217",36.1257545,-86.7109041,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
2,Save A Lot,"1134 Gallatin Pike S, Nashville, TN 37115",36.2505921,-86.72085469999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
3,Save A Lot,"5154 Murfreesboro Rd, La Vergne, TN 37086",36.0193371,-86.5767419,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
4,Save A Lot,"5350 Mt View Rd, Antioch, TN 37013",36.0466808,-86.6493797,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
5,Save A Lot,"351 E Main St, Gallatin, TN 37066",36.3897155,-86.43921120000002,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
6,Save A Lot,"415 Hwy 52 E, Lafayette, TN 37083",36.519162,-86.0152696,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
7,Save A Lot,"750 Jessica St, Murfreesboro, TN 37130",35.83350170000001,-86.3772475,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
8,Save A Lot,"11225 S Main St, Tennessee Ridge, TN 37178",36.3104159,-87.7739119,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
9,Save A Lot,"112 E James Campbell Blvd, Columbia, TN 38401",35.5880857,-87.0386128,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
10,Save A Lot,"15391 TN-111, Spencer, TN 38585",35.7485504,-85.4579442,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
11,Save A Lot,"700 TN-100, Centerville, TN 37033",35.7981363,-87.4366294,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
12,Save A Lot,"1608 N Locust Ave Ste A, Lawrenceburg, TN 38464",35.259984,-87.3227866,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
13,Save A Lot,"509 S Congress Blvd, Smithville, TN 37166",35.9559727,-85.812342,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
14,Save A Lot,"840 Main St, Tracy City, TN 37387",35.2577726,-85.7253987,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
15,Save A Lot,"225 Water St, Savannah, TN 38372",35.2215509,-88.24543039999999,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
16,Save A Lot,"1224 Hillsboro Blvd, Manchester, TN 37355",35.47099499999999,-86.0764875,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
17,Save A Lot,"442 TN-8 A, Dunlap, TN 37327",35.3990076,-85.3806761,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
18,Save A Lot,"231 Northgate Dr Ste 216, McMinnville, TN 37110",35.7000344,-85.7824381,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
