,shop_name,shop_address,shop_lat,shop_lng,types
0,The original Kebab Gyros,"2288 Rosa L Parks Blvd, Nashville, TN 37228",36.1944682,-86.8045257,"['restaurant', 'food', 'point_of_interest', 'establishment']"
1,Laredo Taco Company,"2022 Rosa L Parks Blvd, Nashville, TN 37228",36.18841270000001,-86.7977485,"['restaurant', 'food', 'point_of_interest', 'establishment']"
2,Chipotle Mexican Grill,"2032 Rosa L Parks Blvd, Nashville, TN 37228",36.1889604,-86.7979641,"['restaurant', 'food', 'point_of_interest', 'establishment']"
3,Wendy's,"802 Vantage Way Ct, Nashville, TN 37228",36.1906721,-86.800063,"['restaurant', 'food', 'point_of_interest', 'establishment']"
4,Monique's Home Style Cooking,"451 Ponder Pl, Nashville, TN 37228",36.1910614,-86.8036984,"['restaurant', 'food', 'point_of_interest', 'establishment']"
5,Taco Bell,"2101 Rosa L Parks Blvd, Nashville, TN 37228",36.1913183,-86.7997094,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
6,Arby's,"2044 Rosa L Parks Blvd, Nashville, TN 37228",36.190053,-86.798068,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
7,Subway,"2120 Rosa L Parks Blvd, Nashville, TN 37228",36.1929336,-86.8002916,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
8,Chick-fil-A,"2120 Rosa L Parks Blvd #105, Nashville, TN 37228",36.19307879999999,-86.8005254,"['restaurant', 'food', 'point_of_interest', 'establishment']"
9,McDonald's,"801 Vantage Way Ct, Nashville, TN 37228",36.1905941,-86.7993441,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
10,"Food Corner - Pizza, Gyros & Wings","2721 Clarksville Pike #A, Nashville, TN 37208",36.1875154,-86.8213698,"['restaurant', 'food', 'point_of_interest', 'establishment']"
11,Marco Polo's Pizza,"2721 Clarksville Pike, Nashville, TN 37208",36.1875154,-86.8213698,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
12,Dunkin',"2036 Rosa L Parks Blvd, Nashville, TN 37228",36.1893315,-86.79804279999999,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
13,Roma Pizza & Pasta,"3101 Clarksville Pike, Nashville, TN 37218",36.1918778,-86.8292071,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
14,Benton Bunch Pizza,"2408B Middle St, Nashville, TN 37208",36.1912453,-86.80946120000002,"['restaurant', 'food', 'point_of_interest', 'establishment']"
15,Jersey Mike's Subs,"2050 Rosa L Parks Blvd, Nashville, TN 37228",36.190378,-86.7981295,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
16,Le Loup,"1400 Adams St, Nashville, TN 37208",36.1814403,-86.7841684,"['restaurant', 'food', 'point_of_interest', 'establishment']"
17,TAQUERIA SOPE EXPRESS,"2610 B Clarksville Pike, Nashville, TN 37208",36.1873024,-86.8195045,"['restaurant', 'food', 'point_of_interest', 'establishment']"
18,Maxwell's Lounge,"2025 Rosa L Parks Blvd, Nashville, TN 37228",36.1893629,-86.8000038,"['night_club', 'bar', 'point_of_interest', 'establishment']"
19,Wilkes Wings,"1828 4th Ave N, Nashville, TN 37208",36.1861478,-86.79405609999999,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
20,The Rollout,"1006 Buchanan St, Nashville, TN 37208",36.18061410000001,-86.80366120000001,"['restaurant', 'food', 'point_of_interest', 'establishment']"
21,Butchertown Hall,"1416 4th Ave N, Nashville, TN 37208",36.1797736,-86.78915479999999,"['restaurant', 'food', 'point_of_interest', 'establishment']"
22,Saint Stephen,"1300 3rd Ave N, Nashville, TN 37208",36.1779218,-86.7864236,"['restaurant', 'food', 'point_of_interest', 'establishment']"
23,Willie B's Kitchen & Lounge,"918 Buchanan St, Nashville, TN 37208",36.1807525,-86.8028499,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']"
24,Alexandria Grill & Pizza,"1705 Jenkins St, Nashville, TN 37208",36.1801309,-86.7985218,"['restaurant', 'food', 'point_of_interest', 'establishment']"
25,Slim + Husky's Pizza,"911 Buchanan St, Nashville, TN 37208",36.1803183,-86.8027414,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
26,Shellisa's Diner,"1601 9th Ave N, Nashville, TN 37208",36.1783133,-86.7987576,"['restaurant', 'food', 'point_of_interest', 'establishment']"
